Species,Population,Temperature,mpa,Dish,Hour,Germinated,Germinable
AETR,029AT,20,-0.2,A,6.966666667,6,25
AETR,029AT,20,-0.2,A,13.71666667,10,25
AETR,029AT,20,-0.2,A,18.28333333,0,25
AETR,029AT,20,-0.2,A,21.36666667,1,25
AETR,029AT,20,-0.2,A,28.38333333,2,25
AETR,029AT,20,-0.2,A,33.48333333,2,25
AETR,029AT,20,-0.2,A,37.25,2,25
AETR,029AT,20,-0.2,B,6.966666667,6,24
AETR,029AT,20,-0.2,B,13.71666667,5,24
AETR,029AT,20,-0.2,B,18.28333333,0,24
AETR,029AT,20,-0.2,B,21.36666667,0,24
AETR,029AT,20,-0.2,B,28.38333333,3,24
AETR,029AT,20,-0.2,B,33.48333333,6,24
AETR,029AT,20,-0.2,B,37.25,2,24
AETR,029AT,20,-0.2,B,40.55,0,24
AETR,029AT,20,-0.2,B,46.88333333,1,24
AETR,029AT,20,-0.2,B,51.73333333,0,24
AETR,029AT,20,-0.2,B,57.38333333,0,24
AETR,029AT,20,-0.2,B,62.48333333,0,24
AETR,029AT,20,-0.2,B,75.93333333,0,24
AETR,029AT,20,-0.2,B,88.66666667,0,24
AETR,029AT,20,-0.2,B,100.6,0,24
AETR,029AT,20,-0.2,B,111.3333333,0,24
AETR,029AT,20,-0.2,B,125.7166667,1,24
AETR,029AT,20,-0.2,C,6.966666667,9,25
AETR,029AT,20,-0.2,C,13.71666667,6,25
AETR,029AT,20,-0.2,C,18.28333333,0,25
AETR,029AT,20,-0.2,C,21.36666667,0,25
AETR,029AT,20,-0.2,C,28.38333333,1,25
AETR,029AT,20,-0.2,C,33.48333333,3,25
AETR,029AT,20,-0.2,C,37.25,1,25
AETR,029AT,20,-0.2,C,40.55,0,25
AETR,029AT,20,-0.2,C,46.88333333,0,25
AETR,029AT,20,-0.2,C,51.73333333,1,25
AETR,029AT,20,-0.2,C,57.38333333,1,25
AETR,029AT,20,-0.2,C,62.48333333,1,25
AETR,029AT,20,-0.2,D,6.966666667,8,24
AETR,029AT,20,-0.2,D,13.71666667,6,24
AETR,029AT,20,-0.2,D,18.28333333,1,24
AETR,029AT,20,-0.2,D,21.36666667,0,24
AETR,029AT,20,-0.2,D,28.38333333,1,24
AETR,029AT,20,-0.2,D,33.48333333,4,24
AETR,029AT,20,-0.2,D,37.25,1,24
AETR,029AT,20,-0.2,D,40.55,0,24
AETR,029AT,20,-0.2,D,46.88333333,1,24
AETR,029AT,20,-0.2,D,51.73333333,1,24
AETR,029AT,20,-0.2,D,57.38333333,0,24
AETR,029AT,20,-0.2,D,62.48333333,1,24
AETR,029AT,20,-0.4,A,6.966666667,4,25
AETR,029AT,20,-0.4,A,13.71666667,11,25
AETR,029AT,20,-0.4,A,18.28333333,0,25
AETR,029AT,20,-0.4,A,21.36666667,1,25
AETR,029AT,20,-0.4,A,28.38333333,2,25
AETR,029AT,20,-0.4,A,33.48333333,3,25
AETR,029AT,20,-0.4,A,37.25,1,25
AETR,029AT,20,-0.4,A,40.55,0,25
AETR,029AT,20,-0.4,A,46.88333333,0,25
AETR,029AT,20,-0.4,A,51.73333333,1,25
AETR,029AT,20,-0.4,A,57.38333333,1,25
