Species,Population,mpa,Dish,Time,Germinated,Germinable
AETR,029AT,"-0,2",A,6.966666667,6,25
AETR,029AT,"-0,2",A,13.71666667,16,25
AETR,029AT,"-0,2",A,18.28333333,16,25
AETR,029AT,"-0,2",A,21.36666667,17,25
AETR,029AT,"-0,2",A,28.38333333,19,25
AETR,029AT,"-0,2",A,33.48333333,21,25
AETR,029AT,"-0,2",A,37.25,23,25
AETR,029AT,"-0,2",B,6.966666667,6,24
AETR,029AT,"-0,2",B,13.71666667,11,24
AETR,029AT,"-0,2",B,18.28333333,11,24
AETR,029AT,"-0,2",B,21.36666667,11,24
AETR,029AT,"-0,2",B,28.38333333,14,24
AETR,029AT,"-0,2",B,33.48333333,20,24
AETR,029AT,"-0,2",B,37.25,22,24
AETR,029AT,"-0,2",B,40.55,22,24
AETR,029AT,"-0,2",B,46.88333333,23,24
AETR,029AT,"-0,2",B,51.73333333,23,24
AETR,029AT,"-0,2",B,57.38333333,23,24
AETR,029AT,"-0,2",B,62.48333333,23,24
AETR,029AT,"-0,2",B,75.93333333,23,24
AETR,029AT,"-0,2",B,88.66666667,23,24
AETR,029AT,"-0,2",B,100.6,23,24
AETR,029AT,"-0,2",B,111.3333333,23,24
AETR,029AT,"-0,2",B,125.7166667,24,24
