species,population,temperature,dish,times,germinated,germinable
Centaurium somedanum,La Malva,20,A1,1,0,22
Centaurium somedanum,La Malva,20,A1,2,0,22
Centaurium somedanum,La Malva,20,A1,3,0,22
Centaurium somedanum,La Malva,20,A1,4,0,22
Centaurium somedanum,La Malva,20,A1,5,0,22
Centaurium somedanum,La Malva,20,A1,6,2,22
Centaurium somedanum,La Malva,20,A1,7,13,22
Centaurium somedanum,La Malva,20,A1,8,3,22
Centaurium somedanum,La Malva,20,A1,9,0,22
Centaurium somedanum,La Malva,20,A1,10,0,22
Centaurium somedanum,La Malva,20,A1,11,0,22
Centaurium somedanum,La Malva,20,A1,12,1,22
Centaurium somedanum,La Malva,20,A1,13,0,22
Centaurium somedanum,La Malva,20,A1,14,0,22
Centaurium somedanum,La Malva,20,A1,15,1,22
Centaurium somedanum,La Malva,20,A1,16,0,22
Centaurium somedanum,La Malva,20,A1,17,0,22
Centaurium somedanum,La Malva,20,A1,18,0,22
Centaurium somedanum,La Malva,20,A1,19,0,22
Centaurium somedanum,La Malva,20,A1,20,0,22
Centaurium somedanum,La Malva,20,A1,21,0,22
Centaurium somedanum,La Malva,20,A1,22,0,22
Centaurium somedanum,La Malva,20,A1,23,0,22
Centaurium somedanum,La Malva,20,A1,24,0,22
Centaurium somedanum,La Malva,20,A1,25,0,22
Centaurium somedanum,La Malva,20,A1,26,0,22
Centaurium somedanum,La Malva,20,A1,27,0,22
Centaurium somedanum,La Malva,20,A1,28,0,22
Centaurium somedanum,La Malva,7.3,A10,1,0,22
Centaurium somedanum,La Malva,7.3,A10,2,0,22
Centaurium somedanum,La Malva,7.3,A10,3,0,22
Centaurium somedanum,La Malva,7.3,A10,4,0,22
Centaurium somedanum,La Malva,7.3,A10,5,0,22
Centaurium somedanum,La Malva,7.3,A10,6,0,22
Centaurium somedanum,La Malva,7.3,A10,7,0,22
Centaurium somedanum,La Malva,7.3,A10,8,0,22
Centaurium somedanum,La Malva,7.3,A10,9,0,22
Centaurium somedanum,La Malva,7.3,A10,10,0,22
Centaurium somedanum,La Malva,7.3,A10,11,0,22
Centaurium somedanum,La Malva,7.3,A10,12,0,22
Centaurium somedanum,La Malva,7.3,A10,13,0,22
Centaurium somedanum,La Malva,7.3,A10,14,0,22
Centaurium somedanum,La Malva,7.3,A10,15,0,22
Centaurium somedanum,La Malva,7.3,A10,16,0,22
Centaurium somedanum,La Malva,7.3,A10,17,0,22
Centaurium somedanum,La Malva,7.3,A10,18,0,22
Centaurium somedanum,La Malva,7.3,A10,19,0,22
Centaurium somedanum,La Malva,7.3,A10,20,0,22
Centaurium somedanum,La Malva,7.3,A10,21,0,22
Centaurium somedanum,La Malva,7.3,A10,22,0,22
Centaurium somedanum,La Malva,7.3,A10,23,0,22
Centaurium somedanum,La Malva,7.3,A10,24,0,22
Centaurium somedanum,La Malva,7.3,A10,25,0,22
Centaurium somedanum,La Malva,7.3,A10,26,0,22
Centaurium somedanum,La Malva,7.3,A10,27,0,22
Centaurium somedanum,La Malva,7.3,A10,28,0,22
Centaurium somedanum,La Malva,5.8,A11,1,0,24
Centaurium somedanum,La Malva,5.8,A11,2,0,24
Centaurium somedanum,La Malva,5.8,A11,3,0,24
Centaurium somedanum,La Malva,5.8,A11,4,0,24
Centaurium somedanum,La Malva,5.8,A11,5,0,24
Centaurium somedanum,La Malva,5.8,A11,6,0,24
Centaurium somedanum,La Malva,5.8,A11,7,0,24
Centaurium somedanum,La Malva,5.8,A11,8,0,24
Centaurium somedanum,La Malva,5.8,A11,9,0,24
Centaurium somedanum,La Malva,5.8,A11,10,0,24
Centaurium somedanum,La Malva,5.8,A11,11,0,24
Centaurium somedanum,La Malva,5.8,A11,12,0,24
Centaurium somedanum,La Malva,5.8,A11,13,0,24
Centaurium somedanum,La Malva,5.8,A11,14,0,24
Centaurium somedanum,La Malva,5.8,A11,15,0,24
Centaurium somedanum,La Malva,5.8,A11,16,0,24
Centaurium somedanum,La Malva,5.8,A11,17,0,24
Centaurium somedanum,La Malva,5.8,A11,18,0,24
Centaurium somedanum,La Malva,5.8,A11,19,0,24
Centaurium somedanum,La Malva,5.8,A11,20,0,24
Centaurium somedanum,La Malva,5.8,A11,21,0,24
Centaurium somedanum,La Malva,5.8,A11,22,0,24
Centaurium somedanum,La Malva,5.8,A11,23,0,24
Centaurium somedanum,La Malva,5.8,A11,24,0,24
Centaurium somedanum,La Malva,5.8,A11,25,0,24
Centaurium somedanum,La Malva,5.8,A11,26,0,24
Centaurium somedanum,La Malva,5.8,A11,27,0,24
Centaurium somedanum,La Malva,5.8,A11,28,0,24
Centaurium somedanum,La Malva,4.4,A12,1,0,23
Centaurium somedanum,La Malva,4.4,A12,2,0,23
Centaurium somedanum,La Malva,4.4,A12,3,0,23
Centaurium somedanum,La Malva,4.4,A12,4,0,23
Centaurium somedanum,La Malva,4.4,A12,5,0,23
Centaurium somedanum,La Malva,4.4,A12,6,0,23
Centaurium somedanum,La Malva,4.4,A12,7,0,23
Centaurium somedanum,La Malva,4.4,A12,8,0,23
Centaurium somedanum,La Malva,4.4,A12,9,0,23
Centaurium somedanum,La Malva,4.4,A12,10,0,23
Centaurium somedanum,La Malva,4.4,A12,11,0,23
Centaurium somedanum,La Malva,4.4,A12,12,0,23
Centaurium somedanum,La Malva,4.4,A12,13,0,23
Centaurium somedanum,La Malva,4.4,A12,14,0,23
Centaurium somedanum,La Malva,4.4,A12,15,0,23
Centaurium somedanum,La Malva,4.4,A12,16,0,23
Centaurium somedanum,La Malva,4.4,A12,17,0,23
Centaurium somedanum,La Malva,4.4,A12,18,0,23
Centaurium somedanum,La Malva,4.4,A12,19,0,23
Centaurium somedanum,La Malva,4.4,A12,20,0,23
Centaurium somedanum,La Malva,4.4,A12,21,0,23
Centaurium somedanum,La Malva,4.4,A12,22,0,23
Centaurium somedanum,La Malva,4.4,A12,23,0,23
