"","species","temperature","psi","dish","times","germinated","germinable"
"1","species1",20,-0.2,"A",6,3,25
"2","species1",20,-0.2,"A",13,12,25
"3","species1",20,-0.2,"A",18,1,25
"4","species1",20,-0.2,"A",24,2,25
"5","species1",20,-0.2,"A",30,3,25
"6","species1",20,-0.2,"A",34,1,25
"7","species1",20,-0.2,"A",37,0,25
"8","species1",20,-0.2,"A",42,1,25
"9","species1",20,-0.2,"B",6,3,24
"10","species1",20,-0.2,"B",13,14,24
"11","species1",20,-0.2,"B",18,1,24
"12","species1",20,-0.2,"B",24,1,24
"13","species1",20,-0.2,"B",30,3,24
"14","species1",20,-0.2,"B",34,0,24
"15","species1",20,-0.2,"B",37,1,24
"16","species1",20,-0.2,"B",42,0,24
"17","species1",20,-0.2,"B",48,0,24
"18","species1",20,-0.2,"B",54,0,24
"19","species1",20,-0.2,"B",59,0,24
"20","species1",20,-0.2,"B",72,0,24
"21","species1",20,-0.2,"B",85,0,24
"22","species1",20,-0.2,"B",97,0,24
"23","species1",20,-0.2,"B",108,0,24
"24","species1",20,-0.2,"B",122,1,24
"25","species1",20,-0.2,"C",6,5,25
"26","species1",20,-0.2,"C",13,13,25
"27","species1",20,-0.2,"C",18,2,25
"28","species1",20,-0.2,"C",24,3,25
"29","species1",20,-0.2,"C",30,1,25
"30","species1",20,-0.2,"C",34,1,25
"31","species1",20,-0.2,"D",6,7,24
"32","species1",20,-0.2,"D",13,10,24
"33","species1",20,-0.2,"D",18,0,24
"34","species1",20,-0.2,"D",24,2,24
"35","species1",20,-0.2,"D",30,1,24
"36","species1",20,-0.2,"D",34,0,24
"37","species1",20,-0.2,"D",37,0,24
"38","species1",20,-0.2,"D",42,1,24
"39","species1",20,-0.2,"D",48,0,24
"40","species1",20,-0.2,"D",54,2,24
"41","species1",20,-0.4,"A",6,5,25
"42","species1",20,-0.4,"A",13,11,25
"43","species1",20,-0.4,"A",18,0,25
"44","species1",20,-0.4,"A",24,1,25
"45","species1",20,-0.4,"A",30,4,25
"46","species1",20,-0.4,"A",34,0,25
"47","species1",20,-0.4,"A",37,1,25
"48","species1",20,-0.4,"A",42,1,25
"49","species1",20,-0.4,"A",48,0,25
"50","species1",20,-0.4,"A",54,1,25
"51","species1",20,-0.4,"B",6,2,25
"52","species1",20,-0.4,"B",13,8,25
"53","species1",20,-0.4,"B",18,2,25
"54","species1",20,-0.4,"B",24,2,25
"55","species1",20,-0.4,"B",30,4,25
"56","species1",20,-0.4,"B",34,1,25
"57","species1",20,-0.4,"B",37,0,25
"58","species1",20,-0.4,"B",42,2,25
"59","species1",20,-0.4,"B",48,2,25
"60","species1",20,-0.4,"B",54,0,25
"61","species1",20,-0.4,"B",59,0,25
"62","species1",20,-0.4,"B",72,1,25
"63","species1",20,-0.4,"B",85,1,25
"64","species1",20,-0.4,"C",6,2,25
"65","species1",20,-0.4,"C",13,10,25
"66","species1",20,-0.4,"C",18,1,25
"67","species1",20,-0.4,"C",24,3,25
"68","species1",20,-0.4,"C",30,2,25
"69","species1",20,-0.4,"C",34,1,25
"70","species1",20,-0.4,"C",37,0,25
"71","species1",20,-0.4,"C",42,3,25
"72","species1",20,-0.4,"C",48,1,25
"73","species1",20,-0.4,"C",54,1,25
"74","species1",20,-0.4,"C",59,0,25
"75","species1",20,-0.4,"C",72,0,25
"76","species1",20,-0.4,"C",85,0,25
"77","species1",20,-0.4,"C",97,0,25
"78","species1",20,-0.4,"C",108,1,25
"79","species1",20,-0.4,"D",6,5,24
"80","species1",20,-0.4,"D",13,15,24
"81","species1",20,-0.4,"D",18,0,24
"82","species1",20,-0.4,"D",24,0,24
"83","species1",20,-0.4,"D",30,2,24
"84","species1",20,-0.4,"D",34,0,24
"85","species1",20,-0.4,"D",37,0,24
"86","species1",20,-0.4,"D",42,0,24
"87","species1",20,-0.4,"D",48,1,24
"88","species1",20,-0.4,"D",54,1,24
"89","species1",20,-0.6,"A",6,1,25
"90","species1",20,-0.6,"A",13,10,25
"91","species1",20,-0.6,"A",18,3,25
"92","species1",20,-0.6,"A",24,3,25
"93","species1",20,-0.6,"A",30,5,25
"94","species1",20,-0.6,"A",34,0,25
"95","species1",20,-0.6,"A",37,0,25
"96","species1",20,-0.6,"A",42,0,25
"97","species1",20,-0.6,"A",48,1,25
"98","species1",20,-0.6,"A",54,0,25
"99","species1",20,-0.6,"A",59,0,25
"100","species1",20,-0.6,"A",72,0,25
"101","species1",20,-0.6,"A",85,0,25
"102","species1",20,-0.6,"A",97,0,25
"103","species1",20,-0.6,"A",108,1,25
"104","species1",20,-0.6,"B",6,0,25
"105","species1",20,-0.6,"B",13,17,25
"106","species1",20,-0.6,"B",18,2,25
"107","species1",20,-0.6,"B",24,1,25
"108","species1",20,-0.6,"B",30,1,25
"109","species1",20,-0.6,"B",34,1,25
"110","species1",20,-0.6,"B",37,0,25
"111","species1",20,-0.6,"B",42,1,25
"112","species1",20,-0.6,"B",48,1,25
"113","species1",20,-0.6,"B",54,0,25
"114","species1",20,-0.6,"B",59,0,25
"115","species1",20,-0.6,"B",72,0,25
"116","species1",20,-0.6,"B",85,1,25
"117","species1",20,-0.6,"C",6,2,25
"118","species1",20,-0.6,"C",13,16,25
"119","species1",20,-0.6,"C",18,3,25
"120","species1",20,-0.6,"C",24,1,25
"121","species1",20,-0.6,"C",30,1,25
"122","species1",20,-0.6,"C",34,0,25
"123","species1",20,-0.6,"C",37,1,25
"124","species1",20,-0.6,"C",42,0,25
"125","species1",20,-0.6,"C",48,1,25
"126","species1",20,-0.6,"D",6,5,25
"127","species1",20,-0.6,"D",13,5,25
"128","species1",20,-0.6,"D",18,3,25
"129","species1",20,-0.6,"D",24,4,25
"130","species1",20,-0.6,"D",30,1,25
"131","species1",20,-0.6,"D",34,2,25
"132","species1",20,-0.6,"D",37,0,25
"133","species1",20,-0.6,"D",42,0,25
"134","species1",20,-0.6,"D",48,1,25
"135","species1",20,-0.6,"D",54,1,25
"136","species1",20,-0.6,"D",59,0,25
"137","species1",20,-0.6,"D",72,2,25
"138","species1",20,-0.6,"D",85,0,25
"139","species1",20,-0.6,"D",97,0,25
"140","species1",20,-0.6,"D",108,1,25
"141","species1",20,-0.8,"A",6,1,23
"142","species1",20,-0.8,"A",13,8,23
"143","species1",20,-0.8,"A",18,4,23
"144","species1",20,-0.8,"A",24,2,23
"145","species1",20,-0.8,"A",30,3,23
"146","species1",20,-0.8,"A",34,0,23
"147","species1",20,-0.8,"A",37,1,23
"148","species1",20,-0.8,"A",42,1,23
"149","species1",20,-0.8,"A",48,0,23
"150","species1",20,-0.8,"A",54,1,23
"151","species1",20,-0.8,"A",59,0,23
"152","species1",20,-0.8,"A",72,1,23
"153","species1",20,-0.8,"B",6,5,24
"154","species1",20,-0.8,"B",13,7,24
"155","species1",20,-0.8,"B",18,2,24
"156","species1",20,-0.8,"B",24,4,24
"157","species1",20,-0.8,"B",30,1,24
"158","species1",20,-0.8,"B",34,0,24
"159","species1",20,-0.8,"B",37,0,24
"160","species1",20,-0.8,"B",42,0,24
"161","species1",20,-0.8,"B",48,0,24
"162","species1",20,-0.8,"B",54,3,24
"163","species1",20,-0.8,"B",59,0,24
"164","species1",20,-0.8,"B",72,1,24
"165","species1",20,-0.8,"C",6,2,23
"166","species1",20,-0.8,"C",13,7,23
"167","species1",20,-0.8,"C",18,1,23
"168","species1",20,-0.8,"C",24,5,23
"169","species1",20,-0.8,"C",30,2,23
"170","species1",20,-0.8,"C",34,0,23
