Grouping;Treatment;Dish;Time;G;PG
CM_6wks_0C;15;1;1;0;22
CM_6wks_0C;15;1;2;0;22
CM_6wks_0C;15;1;3;0;22
CM_6wks_0C;15;1;4;0;22
CM_6wks_0C;15;1;5;0;22
CM_6wks_0C;15;1;6;0;22
CM_6wks_0C;15;1;7;0;22
CM_6wks_0C;15;1;8;0;22
CM_6wks_0C;15;1;9;0;22
CM_6wks_0C;15;1;10;10;22
CM_6wks_0C;15;1;11;14;22
CM_6wks_0C;15;1;12;16;22
CM_6wks_0C;15;1;13;18;22
CM_6wks_0C;15;1;14;19;22
CM_6wks_0C;15;1;15;19;22
CM_6wks_0C;15;1;16;19;22
CM_6wks_0C;15;1;17;19;22
CM_6wks_0C;15;1;18;19;22
CM_6wks_0C;15;1;19;19;22
CM_6wks_0C;15;1;20;19;22
CM_6wks_0C;15;1;21;19;22
CM_6wks_0C;15;1;22;19;22
CM_6wks_0C;15;1;23;19;22
CM_6wks_0C;15;1;24;19;22
CM_6wks_0C;15;1;25;19;22
CM_6wks_0C;15;1;26;19;22
CM_6wks_0C;15;1;27;19;22
CM_6wks_0C;15;1;28;19;22
CM_6wks_0C;15;1;29;19;22
CM_6wks_0C;15;1;30;20;22
CM_6wks_0C;15;1;31;20;22
CM_6wks_0C;15;1;32;20;22
CM_6wks_0C;15;1;33;20;22
CM_6wks_0C;15;1;34;20;22
CM_6wks_0C;15;1;35;20;22
CM_6wks_0C;15;1;36;20;22
CM_6wks_0C;15;1;37;20;22
CM_6wks_0C;15;1;38;20;22
CM_6wks_0C;15;1;39;20;22
CM_6wks_0C;15;1;40;20;22
CM_6wks_0C;15;1;41;20;22
CM_6wks_0C;15;1;42;20;22
CM_6wks_0C;15;1;43;20;22
CM_6wks_0C;15;1;44;20;22
CM_6wks_0C;15;1;45;20;22
CM_6wks_0C;15;1;46;20;22
CM_6wks_0C;15;1;47;20;22
CM_6wks_0C;15;1;48;20;22
CM_6wks_0C;15;1;49;21;22
CM_6wks_0C;15;1;50;21;22
CM_6wks_0C;15;1;51;21;22
CM_6wks_0C;15;1;52;21;22
CM_6wks_0C;15;1;53;21;22
CM_6wks_0C;15;1;54;21;22
CM_6wks_0C;15;1;55;21;22
CM_6wks_0C;15;1;56;21;22
CM_6wks_0C;15;1;57;21;22
CM_6wks_0C;15;1;58;21;22
CM_6wks_0C;15;1;59;21;22
CM_6wks_0C;15;1;60;21;22
CM_6wks_0C;15;1;61;21;22
CM_6wks_0C;15;1;62;21;22
CM_6wks_0C;15;1;63;21;22
CM_6wks_0C;15;1;64;21;22
CM_6wks_0C;15;1;65;21;22
CM_6wks_0C;15;1;66;21;22
CM_6wks_0C;15;1;67;21;22
CM_6wks_0C;15;1;68;21;22
CM_6wks_0C;15;1;69;21;22
CM_6wks_0C;15;1;70;21;22
CM_6wks_0C;15;1;71;21;22
CM_6wks_0C;15;1;72;21;22
CM_6wks_0C;15;1;73;21;22
CM_6wks_0C;15;1;74;21;22
CM_6wks_0C;15;1;75;21;22
CM_6wks_0C;15;1;76;21;22
CM_6wks_0C;15;1;77;21;22
CM_6wks_0C;15;1;78;21;22
CM_6wks_0C;15;1;79;21;22
CM_6wks_0C;15;1;80;21;22
CM_6wks_0C;15;1;81;21;22
CM_6wks_0C;15;1;82;21;22
CM_6wks_0C;15;1;83;21;22
CM_6wks_0C;15;1;84;21;22
CM_6wks_0C;15;2;1;0;22
CM_6wks_0C;15;2;2;0;22
CM_6wks_0C;15;2;3;0;22
CM_6wks_0C;15;2;4;0;22
CM_6wks_0C;15;2;5;0;22
CM_6wks_0C;15;2;6;0;22
CM_6wks_0C;15;2;7;0;22
CM_6wks_0C;15;2;8;0;22
CM_6wks_0C;15;2;9;0;22
CM_6wks_0C;15;2;10;9;22
CM_6wks_0C;15;2;11;14;22
CM_6wks_0C;15;2;12;17;22
CM_6wks_0C;15;2;13;19;22
