Grouping;Treatment;Dish;Time;G;PG
ANCO;0;A;0;0;24
ANCO;0;A;0.8;0;24
ANCO;0;A;1.1;1;24
ANCO;0;A;1.3;4;24
ANCO;0;A;1.5;4;24
ANCO;0;A;1.8;9;24
ANCO;0;A;2;9;24
ANCO;0;A;2.3;9;24
ANCO;0;A;2.5;9;24
ANCO;0;A;3;9;24
ANCO;0;A;3.3;9;24
ANCO;0;A;3.6;9;24
ANCO;0;A;3.8;9;24
ANCO;0;A;4.6;9;24
ANCO;0;A;5.2;9;24
ANCO;0;A;5.6;9;24
ANCO;0;A;10.2;9;24
ANCO;0;A;20.5;10;24
ANCO;0;A;31.3;10;24
ANCO;0;A;45.3;10;24
ANCO;0;B;0;0;23
ANCO;0;B;0.8;0;23
ANCO;0;B;1.1;3;23
ANCO;0;B;1.3;7;23
ANCO;0;B;1.5;8;23
ANCO;0;B;1.8;14;23
ANCO;0;B;2;15;23
ANCO;0;B;2.3;15;23
ANCO;0;B;2.5;16;23
ANCO;0;B;3;16;23
ANCO;0;B;3.3;16;23
ANCO;0;B;3.6;16;23
ANCO;0;B;3.8;16;23
ANCO;0;B;4.6;17;23
ANCO;0;B;5.2;17;23
ANCO;0;B;5.6;17;23
ANCO;0;B;10.2;17;23
ANCO;0;B;20.5;17;23
ANCO;0;B;31.3;17;23
ANCO;0;B;45.3;17;23
ANCO;0;C;0;0;23
ANCO;0;C;0.8;0;23
ANCO;0;C;1.1;3;23
ANCO;0;C;1.3;3;23
ANCO;0;C;1.5;3;23
ANCO;0;C;1.8;10;23
ANCO;0;C;2;10;23
ANCO;0;C;2.3;10;23
ANCO;0;C;2.5;10;23
ANCO;0;C;3;10;23
ANCO;0;C;3.3;10;23
ANCO;0;C;3.6;10;23
ANCO;0;C;3.8;10;23
ANCO;0;C;4.6;10;23
ANCO;0;C;5.2;10;23
ANCO;0;C;5.6;10;23
ANCO;0;C;10.2;10;23
ANCO;0;C;20.5;10;23
ANCO;0;C;31.3;10;23
ANCO;0;C;45.3;10;23
ANCO;0;D;0;0;25
ANCO;0;D;0.8;0;25
ANCO;0;D;1.1;3;25
ANCO;0;D;1.3;3;25
ANCO;0;D;1.5;6;25
ANCO;0;D;1.8;10;25
ANCO;0;D;2;10;25
ANCO;0;D;2.3;10;25
ANCO;0;D;2.5;10;25
ANCO;0;D;3;10;25
ANCO;0;D;3.3;10;25
ANCO;0;D;3.6;10;25
ANCO;0;D;3.8;10;25
ANCO;0;D;4.6;10;25
ANCO;0;D;5.2;10;25
ANCO;0;D;5.6;10;25
ANCO;0;D;10.2;10;25
ANCO;0;D;20.5;10;25
ANCO;0;D;31.3;10;25
ANCO;0;D;45.3;10;25
ANCO;-0.1;A;0;0;23
ANCO;-0.1;A;0.8;0;23
ANCO;-0.1;A;1.1;1;23
ANCO;-0.1;A;1.3;1;23
ANCO;-0.1;A;1.5;1;23
ANCO;-0.1;A;1.8;5;23
ANCO;-0.1;A;2;5;23
ANCO;-0.1;A;2.3;5;23
ANCO;-0.1;A;2.5;5;23
ANCO;-0.1;A;3;5;23
ANCO;-0.1;A;3.3;5;23
ANCO;-0.1;A;3.6;5;23
ANCO;-0.1;A;3.8;5;23
ANCO;-0.1;A;4.6;5;23
ANCO;-0.1;A;5.2;5;23
ANCO;-0.1;A;5.6;5;23
ANCO;-0.1;A;10.2;5;23
ANCO;-0.1;A;20.5;5;23
ANCO;-0.1;A;31.3;5;23
ANCO;-0.1;A;45.3;5;23
ANCO;-0.1;B;0;0;23
ANCO;-0.1;B;0.8;0;23
ANCO;-0.1;B;1.1;2;23
ANCO;-0.1;B;1.3;2;23
ANCO;-0.1;B;1.5;2;23
ANCO;-0.1;B;1.8;8;23
ANCO;-0.1;B;2;10;23
