Species,Population,mpa,Dish,Hour,Germinated,Germinable
AETR,029AT,-0.2,A,6.966666667,6,25
AETR,029AT,-0.2,A,13.71666667,16,25
AETR,029AT,-0.2,A,18.28333333,16,25
AETR,029AT,-0.2,A,21.36666667,17,25
AETR,029AT,-0.2,A,28.38333333,19,25
AETR,029AT,-0.2,A,33.48333333,21,25
AETR,029AT,-0.2,A,37.25,23,25
AETR,029AT,-0.2,B,6.966666667,6,24
AETR,029AT,-0.2,B,13.71666667,11,24
AETR,029AT,-0.2,B,18.28333333,11,24
AETR,029AT,-0.2,B,21.36666667,11,24
AETR,029AT,-0.2,B,28.38333333,14,24
AETR,029AT,-0.2,B,33.48333333,20,24
AETR,029AT,-0.2,B,37.25,22,24
AETR,029AT,-0.2,B,40.55,22,24
AETR,029AT,-0.2,B,46.88333333,23,24
AETR,029AT,-0.2,B,51.73333333,23,24
AETR,029AT,-0.2,B,57.38333333,23,24
AETR,029AT,-0.2,B,62.48333333,23,24
AETR,029AT,-0.2,B,75.93333333,23,24
AETR,029AT,-0.2,B,88.66666667,23,24
AETR,029AT,-0.2,B,100.6,23,24
AETR,029AT,-0.2,B,111.3333333,23,24
AETR,029AT,-0.2,B,125.7166667,24,24
AETR,029AT,-0.2,C,6.966666667,9,25
AETR,029AT,-0.2,C,13.71666667,15,25
AETR,029AT,-0.2,C,18.28333333,15,25
AETR,029AT,-0.2,C,21.36666667,15,25
AETR,029AT,-0.2,C,28.38333333,16,25
AETR,029AT,-0.2,C,33.48333333,19,25
AETR,029AT,-0.2,C,37.25,20,25
AETR,029AT,-0.2,C,40.55,20,25
AETR,029AT,-0.2,C,46.88333333,20,25
AETR,029AT,-0.2,C,51.73333333,21,25
AETR,029AT,-0.2,C,57.38333333,22,25
AETR,029AT,-0.2,C,62.48333333,23,25
AETR,029AT,-0.2,D,6.966666667,8,24
AETR,029AT,-0.2,D,13.71666667,14,24
AETR,029AT,-0.2,D,18.28333333,15,24
AETR,029AT,-0.2,D,21.36666667,15,24
AETR,029AT,-0.2,D,28.38333333,16,24
AETR,029AT,-0.2,D,33.48333333,20,24
AETR,029AT,-0.2,D,37.25,21,24
AETR,029AT,-0.2,D,40.55,21,24
AETR,029AT,-0.2,D,46.88333333,22,24
AETR,029AT,-0.2,D,51.73333333,23,24
AETR,029AT,-0.2,D,57.38333333,23,24
AETR,029AT,-0.2,D,62.48333333,24,24
AETR,029AT,-0.4,A,6.966666667,4,25
AETR,029AT,-0.4,A,13.71666667,15,25
AETR,029AT,-0.4,A,18.28333333,15,25
AETR,029AT,-0.4,A,21.36666667,16,25
AETR,029AT,-0.4,A,28.38333333,18,25
AETR,029AT,-0.4,A,33.48333333,21,25
AETR,029AT,-0.4,A,37.25,22,25
AETR,029AT,-0.4,A,40.55,22,25
AETR,029AT,-0.4,A,46.88333333,22,25
AETR,029AT,-0.4,A,51.73333333,23,25
AETR,029AT,-0.4,A,57.38333333,24,25
AETR,029AT,-0.4,B,6.966666667,4,24
AETR,029AT,-0.4,B,13.71666667,16,24
AETR,029AT,-0.4,B,18.28333333,17,24
AETR,029AT,-0.4,B,21.36666667,17,24
AETR,029AT,-0.4,B,28.38333333,17,24
AETR,029AT,-0.4,B,33.48333333,20,24
AETR,029AT,-0.4,B,37.25,21,24
AETR,029AT,-0.4,B,40.55,21,24
AETR,029AT,-0.4,B,46.88333333,24,24
AETR,029AT,-0.4,C,6.966666667,10,25
AETR,029AT,-0.4,C,13.71666667,16,25
AETR,029AT,-0.4,C,18.28333333,17,25
AETR,029AT,-0.4,C,21.36666667,17,25
AETR,029AT,-0.4,C,28.38333333,18,25
AETR,029AT,-0.4,C,33.48333333,21,25
AETR,029AT,-0.4,C,37.25,23,25
AETR,029AT,-0.4,C,40.55,23,25
AETR,029AT,-0.4,C,46.88333333,25,25
AETR,029AT,-0.4,D,6.966666667,2,25
AETR,029AT,-0.4,D,13.71666667,14,25
AETR,029AT,-0.4,D,18.28333333,14,25
AETR,029AT,-0.4,D,21.36666667,14,25
AETR,029AT,-0.4,D,28.38333333,16,25
AETR,029AT,-0.4,D,33.48333333,19,25
AETR,029AT,-0.4,D,37.25,20,25
AETR,029AT,-0.4,D,40.55,21,25
AETR,029AT,-0.4,D,46.88333333,22,25
AETR,029AT,-0.4,D,51.73333333,22,25
AETR,029AT,-0.4,D,57.38333333,22,25
AETR,029AT,-0.4,D,62.48333333,22,25
AETR,029AT,-0.4,D,75.93333333,23,25
AETR,029AT,-0.6,A,6.966666667,2,22
AETR,029AT,-0.6,A,13.71666667,13,22
AETR,029AT,-0.6,A,18.28333333,13,22
AETR,029AT,-0.6,A,21.36666667,14,22
AETR,029AT,-0.6,A,28.38333333,14,22
AETR,029AT,-0.6,A,33.48333333,15,22
AETR,029AT,-0.6,A,37.25,19,22
AETR,029AT,-0.6,A,40.55,19,22
AETR,029AT,-0.6,A,46.88333333,19,22
