Dish,Population,Temperature,Time,Germinated,Germinable
A1,CM,20,1,0,22
A1,CM,20,2,0,22
A1,CM,20,3,0,22
A1,CM,20,4,0,22
A1,CM,20,5,0,22
A1,CM,20,6,2,22
A1,CM,20,7,15,22
A1,CM,20,8,18,22
A1,CM,20,9,18,22
A1,CM,20,10,18,22
A1,CM,20,11,18,22
A1,CM,20,12,19,22
A1,CM,20,13,19,22
A1,CM,20,14,19,22
A1,CM,20,15,20,22
A1,CM,20,16,20,22
A1,CM,20,17,20,22
A1,CM,20,18,20,22
A1,CM,20,19,20,22
A1,CM,20,20,20,22
A1,CM,20,21,20,22
A1,CM,20,22,20,22
A1,CM,20,23,20,22
A1,CM,20,24,20,22
A1,CM,20,25,20,22
A1,CM,20,26,20,22
A1,CM,20,27,20,22
A1,CM,20,28,20,22
A1,CM,20,29,20,22
A1,CM,20,30,20,22
A1,CM,20,31,20,22
A1,CM,20,32,20,22
A1,CM,20,33,20,22
A1,CM,20,34,20,22
A1,CM,20,35,20,22
A1,CM,20,36,20,22
A1,CM,20,37,20,22
A1,CM,20,38,20,22
A1,CM,20,39,20,22
A1,CM,20,40,20,22
A1,CM,20,41,20,22
A1,CM,20,42,20,22
A10,CM,7.3,1,0,22
A10,CM,7.3,2,0,22
A10,CM,7.3,3,0,22
A10,CM,7.3,4,0,22
A10,CM,7.3,5,0,22
A10,CM,7.3,6,0,22
A10,CM,7.3,7,0,22
A10,CM,7.3,8,0,22
A10,CM,7.3,9,0,22
A10,CM,7.3,10,0,22
A10,CM,7.3,11,0,22
A10,CM,7.3,12,0,22
A10,CM,7.3,13,0,22
A10,CM,7.3,14,0,22
A10,CM,7.3,15,0,22
A10,CM,7.3,16,0,22
A10,CM,7.3,17,0,22
A10,CM,7.3,18,0,22
A10,CM,7.3,19,0,22
A10,CM,7.3,20,0,22
A10,CM,7.3,21,0,22
A10,CM,7.3,22,0,22
A10,CM,7.3,23,0,22
A10,CM,7.3,24,0,22
A10,CM,7.3,25,0,22
A10,CM,7.3,26,0,22
A10,CM,7.3,27,0,22
A10,CM,7.3,28,0,22
A10,CM,7.3,29,0,22
A10,CM,7.3,30,0,22
A10,CM,7.3,31,0,22
A10,CM,7.3,32,1,22
A10,CM,7.3,33,1,22
A10,CM,7.3,34,1,22
A10,CM,7.3,35,2,22
A10,CM,7.3,36,2,22
A10,CM,7.3,37,4,22
