"","media","minCV","minVQ"
"0%",7.03838095238095,8.25370536300456,5.02008180955292
"10%",7.63351428571429,8.69285800984617,7.23548862727202
"20%",7.8801380952381,8.9172156867348,7.63533885947951
"30%",8.03196666666667,9.12910698618893,7.9278529864518
"40%",8.10798571428571,9.24602385255348,8.5822032250474
"50%",8.25927380952381,9.37647659338317,9.04962369044733
"60%",8.38402380952381,9.495568068357,9.57466030468166
"70%",8.47139047619048,9.63867264138484,9.83315204950396
"80%",8.63327619047619,9.81834007721349,10.1465648382942
"90%",8.89630476190476,10.0391447124401,10.7611742433729
"100%",9.18238095238095,10.713163591689,13.1248835499384
