"","media","minCV","minVQ"
"0%",5.0135,11.5902742048677,-2.52714544712162
"10%",5.21577948717949,12.511006742744,5.54379454772156
"20%",5.33337435897436,12.8614655965548,6.04956200597898
"30%",5.45835641025641,13.2171533703663,6.49252122340805
"40%",5.52240823211876,13.6805433295373,6.83441251448492
"50%",5.58947672064777,14.0366546795483,7.2119649300192
"60%",5.62292307692308,14.5463497630285,7.70093725574298
"70%",5.73139473684211,14.997398884101,8.02031170818699
"80%",5.81078974358975,15.3146618941448,8.4235724635187
"90%",5.88617307692308,15.825453990983,9.00338581376823
"100%",6.17128205128205,18.0523783717046,10.5343606735087
