"","media","minCV","minVQ"
"0%",31.8335317460317,162.411257592309,7.04302622882455
"10%",32.4270674603175,186.517597672289,14.7673536241182
"20%",32.8176840513983,226.785309224194,20.9164197259421
"30%",33.4920303287982,263.157267748083,44.1207152189801
"40%",34.2766428571429,300.154087862525,58.2673911712651
"50%",34.7470181405896,318.253083808038,65.9249180665305
"60%",34.9955516388374,334.461340164029,73.7415030883716
"70%",35.2184653679654,361.752725669208,78.9216867485216
"80%",35.5746031746032,377.188568019859,84.0263722962525
"90%",36.8244841269841,654.421752090061,105.254328268857
"100%",37.3762698412698,2987.89420817291,127.047946044344
