"","media","minCV","minVQ"
"0%",4.8428,9.53399434212634,4.27522361437458
"10%",5.12751666666667,10.4741543338305,5.21544689210034
"20%",5.24054761904762,10.7190452279933,5.47990184584414
"30%",5.32129666666667,11.0914235235715,5.62651350965883
"40%",5.38705333333333,11.3516469296003,5.82932111999185
"50%",5.48846666666667,11.5958413475104,6.03601169768294
"60%",5.55044,11.7793725539549,6.14233020286954
"70%",5.59475666666667,12.1478565742166,6.34714978572097
"80%",5.69466666666667,12.3881673432522,6.64377675640393
"90%",5.90931333333333,12.9577897432316,6.96858569367076
"100%",6.4098,14.7335586927561,7.97778069609944
