Grouping	Treatment	Dish	Time	G	PG
12.5	13.75	1	0	0	25
12.5	13.75	1	1	0	25
12.5	13.75	1	2	0	25
12.5	13.75	1	3	0	25
12.5	13.75	1	4	0	25
12.5	13.75	1	5	0	25
12.5	13.75	1	6	0	25
12.5	13.75	1	7	0	25
12.5	13.75	1	8	0	25
12.5	13.75	1	9	0	25
12.5	13.75	1	10	0	25
12.5	13.75	1	11	0	25
12.5	13.75	1	12	0	25
12.5	13.75	1	13	0	25
12.5	13.75	1	14	0	25
12.5	13.75	1	15	0	25
12.5	13.75	1	16	0	25
12.5	13.75	1	17	0	25
12.5	13.75	1	18	0	25
12.5	13.75	1	19	0	25
12.5	13.75	1	20	0	25
12.5	13.75	1	21	0	25
12.5	13.75	1	22	0	25
12.5	13.75	1	23	0	25
12.5	13.75	1	24	0	25
12.5	13.75	1	25	0	25
12.5	13.75	1	26	0	25
12.5	13.75	1	27	0	25
12.5	13.75	1	28	0	25
12.5	13.75	1	29	0	25
12.5	13.75	1	30	0	25
12.5	13.75	1	31	0	25
12.5	13.75	1	32	0	25
12.5	13.75	1	33	0	25
12.5	13.75	1	34	0	25
12.5	13.75	1	35	0	25
12.5	13.75	1	36	0	25
12.5	13.75	1	37	0	25
12.5	13.75	1	38	0	25
12.5	13.75	1	39	0	25
12.5	13.75	1	40	0	25
12.5	13.75	1	41	0	25
12.5	13.75	1	42	0	25
12.5	13.75	1	43	0	25
12.5	16.25	1	0	0	25
12.5	16.25	1	1	0	25
12.5	16.25	1	2	0	25
12.5	16.25	1	3	0	25
12.5	16.25	1	4	0	25
12.5	16.25	1	5	0	25
12.5	16.25	1	6	0	25
12.5	16.25	1	7	0	25
12.5	16.25	1	8	0	25
12.5	16.25	1	9	0	25
12.5	16.25	1	10	0	25
12.5	16.25	1	11	0	25
12.5	16.25	1	12	0	25
12.5	16.25	1	13	1	25
12.5	16.25	1	14	1	25
12.5	16.25	1	15	1	25
12.5	16.25	1	16	1	25
12.5	16.25	1	17	1	25
12.5	16.25	1	18	1	25
12.5	16.25	1	19	1	25
12.5	16.25	1	20	1	25
12.5	16.25	1	21	1	25
12.5	16.25	1	22	1	25
12.5	16.25	1	23	2	25
12.5	16.25	1	24	2	25
12.5	16.25	1	25	2	25
12.5	16.25	1	26	2	25
12.5	16.25	1	27	2	25
12.5	16.25	1	28	2	25
12.5	16.25	1	29	2	25
12.5	16.25	1	30	2	25
12.5	16.25	1	31	2	25
12.5	16.25	1	32	2	25
12.5	16.25	1	33	2	25
12.5	16.25	1	34	2	25
12.5	16.25	1	35	2	25
12.5	16.25	1	36	2	25
12.5	16.25	1	37	2	25
12.5	16.25	1	38	2	25
12.5	16.25	1	39	2	25
12.5	16.25	1	40	2	25
12.5	16.25	1	41	2	25
12.5	16.25	1	42	2	25
12.5	16.25	1	43	2	25
12.5	18.75	1	0	0	25
12.5	18.75	1	1	0	25
12.5	18.75	1	2	0	25
12.5	18.75	1	3	0	25
12.5	18.75	1	4	0	25
12.5	18.75	1	5	0	25
12.5	18.75	1	6	0	25
12.5	18.75	1	7	0	25
12.5	18.75	1	8	0	25
12.5	18.75	1	9	0	25
12.5	18.75	1	10	3	25
12.5	18.75	1	11	5	25
12.5	18.75	1	12	12	25
12.5	18.75	1	13	13	25
12.5	18.75	1	14	15	25
12.5	18.75	1	15	17	25
12.5	18.75	1	16	17	25
12.5	18.75	1	17	17	25
12.5	18.75	1	18	17	25
12.5	18.75	1	19	17	25
12.5	18.75	1	20	17	25
12.5	18.75	1	21	17	25
12.5	18.75	1	22	17	25
12.5	18.75	1	23	17	25
12.5	18.75	1	24	17	25
12.5	18.75	1	25	17	25
12.5	18.75	1	26	17	25
12.5	18.75	1	27	17	25
12.5	18.75	1	28	17	25
12.5	18.75	1	29	17	25
12.5	18.75	1	30	17	25
12.5	18.75	1	31	17	25
12.5	18.75	1	32	17	25
12.5	18.75	1	33	17	25
12.5	18.75	1	34	17	25
12.5	18.75	1	35	17	25
12.5	18.75	1	36	17	25
12.5	18.75	1	37	17	25
12.5	18.75	1	38	17	25
12.5	18.75	1	39	17	25
12.5	18.75	1	40	17	25
12.5	18.75	1	41	17	25
12.5	18.75	1	42	17	25
12.5	18.75	1	43	17	25
12.5	21.25	1	0	0	25
12.5	21.25	1	1	0	25
12.5	21.25	1	2	0	25
12.5	21.25	1	3	0	25
12.5	21.25	1	4	0	25
12.5	21.25	1	5	0	25
12.5	21.25	1	6	0	25
12.5	21.25	1	7	0	25
12.5	21.25	1	8	3	25
12.5	21.25	1	9	8	25
12.5	21.25	1	10	14	25
12.5	21.25	1	11	18	25
12.5	21.25	1	12	21	25
12.5	21.25	1	13	23	25
12.5	21.25	1	14	23	25
12.5	21.25	1	15	23	25
12.5	21.25	1	16	23	25
12.5	21.25	1	17	23	25
12.5	21.25	1	18	23	25
12.5	21.25	1	19	23	25
12.5	21.25	1	20	23	25
12.5	21.25	1	21	23	25
12.5	21.25	1	22	24	25
12.5	21.25	1	23	24	25
12.5	21.25	1	24	24	25
12.5	21.25	1	25	24	25
12.5	21.25	1	26	24	25
12.5	21.25	1	27	24	25
12.5	21.25	1	28	24	25
12.5	21.25	1	29	24	25
12.5	21.25	1	30	24	25
12.5	21.25	1	31	24	25
12.5	21.25	1	32	24	25
12.5	21.25	1	33	24	25
12.5	21.25	1	34	24	25
12.5	21.25	1	35	24	25
12.5	21.25	1	36	24	25
12.5	21.25	1	37	24	25
12.5	21.25	1	38	24	25
12.5	21.25	1	39	24	25
12.5	21.25	1	40	24	25
12.5	21.25	1	41	24	25
12.5	21.25	1	42	24	25
12.5	21.25	1	43	24	25
12.5	23.75	1	0	0	25
12.5	23.75	1	1	0	25
12.5	23.75	1	2	0	25
12.5	23.75	1	3	0	25
12.5	23.75	1	4	0	25
12.5	23.75	1	5	0	25
12.5	23.75	1	6	0	25
12.5	23.75	1	7	3	25
12.5	23.75	1	8	7	25
12.5	23.75	1	9	20	25
12.5	23.75	1	10	21	25
12.5	23.75	1	11	25	25
12.5	23.75	1	12	25	25
12.5	23.75	1	13	25	25
12.5	23.75	1	14	25	25
12.5	23.75	1	15	25	25
12.5	23.75	1	16	25	25
12.5	23.75	1	17	25	25
12.5	23.75	1	18	25	25
12.5	23.75	1	19	25	25
12.5	23.75	1	20	25	25
12.5	23.75	1	21	25	25
12.5	23.75	1	22	25	25
12.5	23.75	1	23	25	25
12.5	23.75	1	24	25	25
12.5	23.75	1	25	25	25
12.5	23.75	1	26	25	25
12.5	23.75	1	27	25	25
12.5	23.75	1	28	25	25
12.5	23.75	1	29	25	25
12.5	23.75	1	30	25	25
12.5	23.75	1	31	25	25
12.5	23.75	1	32	25	25
12.5	23.75	1	33	25	25
12.5	23.75	1	34	25	25
12.5	23.75	1	35	25	25
12.5	23.75	1	36	25	25
12.5	23.75	1	37	25	25
12.5	23.75	1	38	25	25
12.5	23.75	1	39	25	25
12.5	23.75	1	40	25	25
12.5	23.75	1	41	25	25
12.5	23.75	1	42	25	25
12.5	23.75	1	43	25	25
12.5	26.25	1	0	0	25
12.5	26.25	1	1	0	25
12.5	26.25	1	2	0	25
12.5	26.25	1	3	0	25
12.5	26.25	1	4	0	25
12.5	26.25	1	5	0	25
12.5	26.25	1	6	0	25
12.5	26.25	1	7	9	25
12.5	26.25	1	8	15	25
12.5	26.25	1	9	21	25
12.5	26.25	1	10	21	25
12.5	26.25	1	11	22	25
12.5	26.25	1	12	22	25
12.5	26.25	1	13	24	25
12.5	26.25	1	14	24	25
12.5	26.25	1	15	24	25
12.5	26.25	1	16	24	25
12.5	26.25	1	17	24	25
12.5	26.25	1	18	25	25
12.5	26.25	1	19	25	25
12.5	26.25	1	20	25	25
12.5	26.25	1	21	25	25
12.5	26.25	1	22	25	25
12.5	26.25	1	23	25	25
12.5	26.25	1	24	25	25
12.5	26.25	1	25	25	25
12.5	26.25	1	26	25	25
12.5	26.25	1	27	25	25
12.5	26.25	1	28	25	25
12.5	26.25	1	29	25	25
12.5	26.25	1	30	25	25
12.5	26.25	1	31	25	25
12.5	26.25	1	32	25	25
12.5	26.25	1	33	25	25
12.5	26.25	1	34	25	25
12.5	26.25	1	35	25	25
12.5	26.25	1	36	25	25
12.5	26.25	1	37	25	25
12.5	26.25	1	38	25	25
12.5	26.25	1	39	25	25
12.5	26.25	1	40	25	25
12.5	26.25	1	41	25	25
12.5	26.25	1	42	25	25
12.5	26.25	1	43	25	25
12.5	28.75	1	0	0	25
12.5	28.75	1	1	0	25
12.5	28.75	1	2	0	25
12.5	28.75	1	3	0	25
12.5	28.75	1	4	0	25
12.5	28.75	1	5	0	25
12.5	28.75	1	6	0	25
12.5	28.75	1	7	0	25
12.5	28.75	1	8	11	25
12.5	28.75	1	9	13	25
12.5	28.75	1	10	16	25
12.5	28.75	1	11	16	25
12.5	28.75	1	12	16	25
12.5	28.75	1	13	17	25
12.5	28.75	1	14	17	25
12.5	28.75	1	15	17	25
12.5	28.75	1	16	17	25
12.5	28.75	1	17	17	25
12.5	28.75	1	18	17	25
12.5	28.75	1	19	24	25
12.5	28.75	1	20	24	25
12.5	28.75	1	21	25	25
12.5	28.75	1	22	25	25
12.5	28.75	1	23	25	25
12.5	28.75	1	24	25	25
12.5	28.75	1	25	25	25
12.5	28.75	1	26	25	25
12.5	28.75	1	27	25	25
12.5	28.75	1	28	25	25
12.5	28.75	1	29	25	25
12.5	28.75	1	30	25	25
12.5	28.75	1	31	25	25
12.5	28.75	1	32	25	25
12.5	28.75	1	33	25	25
12.5	28.75	1	34	25	25
12.5	28.75	1	35	25	25
12.5	28.75	1	36	25	25
12.5	28.75	1	37	25	25
12.5	28.75	1	38	25	25
12.5	28.75	1	39	25	25
12.5	28.75	1	40	25	25
12.5	28.75	1	41	25	25
12.5	28.75	1	42	25	25
12.5	28.75	1	43	25	25
12.5	31.25	1	0	0	25
12.5	31.25	1	1	0	25
12.5	31.25	1	2	0	25
12.5	31.25	1	3	0	25
12.5	31.25	1	4	0	25
12.5	31.25	1	5	0	25
12.5	31.25	1	6	0	25
12.5	31.25	1	7	0	25
12.5	31.25	1	8	0	25
12.5	31.25	1	9	2	25
12.5	31.25	1	10	2	25
12.5	31.25	1	11	2	25
12.5	31.25	1	12	3	25
12.5	31.25	1	13	3	25
12.5	31.25	1	14	3	25
12.5	31.25	1	15	4	25
12.5	31.25	1	16	4	25
12.5	31.25	1	17	4	25
12.5	31.25	1	18	8	25
12.5	31.25	1	19	8	25
12.5	31.25	1	20	8	25
12.5	31.25	1	21	9	25
12.5	31.25	1	22	16	25
12.5	31.25	1	23	16	25
12.5	31.25	1	24	17	25
12.5	31.25	1	25	18	25
12.5	31.25	1	26	18	25
12.5	31.25	1	27	18	25
12.5	31.25	1	28	24	25
12.5	31.25	1	29	24	25
12.5	31.25	1	30	24	25
12.5	31.25	1	31	24	25
12.5	31.25	1	32	24	25
12.5	31.25	1	33	24	25
12.5	31.25	1	34	24	25
12.5	31.25	1	35	24	25
12.5	31.25	1	36	24	25
12.5	31.25	1	37	24	25
12.5	31.25	1	38	24	25
12.5	31.25	1	39	24	25
12.5	31.25	1	40	24	25
12.5	31.25	1	41	24	25
12.5	31.25	1	42	24	25
12.5	31.25	1	43	24	25
