Grouping	Treatment	Dish	Time	G	PG
7.5	26.25	1	0	0	25
7.5	26.25	1	1	0	25
7.5	26.25	1	2	0	25
7.5	26.25	1	3	0	25
7.5	26.25	1	4	0	25
7.5	26.25	1	5	0	25
7.5	26.25	1	6	0	25
7.5	26.25	1	7	0	25
7.5	26.25	1	8	1	25
7.5	26.25	1	9	1	25
7.5	26.25	1	10	1	25
7.5	26.25	1	11	6	25
7.5	26.25	1	12	9	25
7.5	26.25	1	13	12	25
7.5	26.25	1	14	12	25
7.5	26.25	1	15	12	25
7.5	26.25	1	16	12	25
7.5	26.25	1	17	12	25
7.5	26.25	1	18	12	25
7.5	26.25	1	19	12	25
7.5	26.25	1	20	12	25
7.5	26.25	1	21	13	25
7.5	26.25	1	22	14	25
7.5	26.25	1	23	21	25
7.5	26.25	1	24	21	25
7.5	26.25	1	25	21	25
7.5	26.25	1	26	21	25
7.5	26.25	1	27	21	25
7.5	26.25	1	28	21	25
7.5	26.25	1	29	21	25
7.5	26.25	1	30	21	25
7.5	26.25	1	31	21	25
7.5	26.25	1	32	21	25
7.5	26.25	1	33	22	25
7.5	26.25	1	34	22	25
7.5	26.25	1	35	22	25
7.5	26.25	1	36	22	25
7.5	26.25	1	37	22	25
7.5	26.25	1	38	22	25
7.5	26.25	1	39	22	25
7.5	26.25	1	40	22	25
7.5	26.25	1	41	22	25
7.5	26.25	1	42	22	25
7.5	26.25	1	43	22	25
12.5	26.25	1	0	0	25
12.5	26.25	1	1	0	25
12.5	26.25	1	2	0	25
12.5	26.25	1	3	0	25
12.5	26.25	1	4	0	25
12.5	26.25	1	5	0	25
12.5	26.25	1	6	0	25
12.5	26.25	1	7	9	25
12.5	26.25	1	8	15	25
12.5	26.25	1	9	21	25
12.5	26.25	1	10	21	25
12.5	26.25	1	11	22	25
12.5	26.25	1	12	22	25
12.5	26.25	1	13	24	25
12.5	26.25	1	14	24	25
12.5	26.25	1	15	24	25
12.5	26.25	1	16	24	25
12.5	26.25	1	17	24	25
12.5	26.25	1	18	25	25
12.5	26.25	1	19	25	25
12.5	26.25	1	20	25	25
12.5	26.25	1	21	25	25
12.5	26.25	1	22	25	25
12.5	26.25	1	23	25	25
12.5	26.25	1	24	25	25
12.5	26.25	1	25	25	25
12.5	26.25	1	26	25	25
12.5	26.25	1	27	25	25
12.5	26.25	1	28	25	25
12.5	26.25	1	29	25	25
12.5	26.25	1	30	25	25
12.5	26.25	1	31	25	25
12.5	26.25	1	32	25	25
12.5	26.25	1	33	25	25
12.5	26.25	1	34	25	25
12.5	26.25	1	35	25	25
12.5	26.25	1	36	25	25
12.5	26.25	1	37	25	25
12.5	26.25	1	38	25	25
12.5	26.25	1	39	25	25
12.5	26.25	1	40	25	25
12.5	26.25	1	41	25	25
12.5	26.25	1	42	25	25
12.5	26.25	1	43	25	25
7.5	28.75	1	0	0	25
7.5	28.75	1	1	0	25
7.5	28.75	1	2	0	25
7.5	28.75	1	3	0	25
7.5	28.75	1	4	0	25
7.5	28.75	1	5	0	25
7.5	28.75	1	6	0	25
7.5	28.75	1	7	0	25
7.5	28.75	1	8	3	25
7.5	28.75	1	9	3	25
7.5	28.75	1	10	4	25
7.5	28.75	1	11	4	25
7.5	28.75	1	12	5	25
7.5	28.75	1	13	5	25
7.5	28.75	1	14	5	25
7.5	28.75	1	15	5	25
7.5	28.75	1	16	5	25
7.5	28.75	1	17	7	25
7.5	28.75	1	18	7	25
7.5	28.75	1	19	7	25
7.5	28.75	1	20	9	25
7.5	28.75	1	21	9	25
7.5	28.75	1	22	17	25
7.5	28.75	1	23	22	25
7.5	28.75	1	24	23	25
7.5	28.75	1	25	23	25
7.5	28.75	1	26	23	25
7.5	28.75	1	27	23	25
7.5	28.75	1	28	23	25
7.5	28.75	1	29	23	25
7.5	28.75	1	30	23	25
7.5	28.75	1	31	23	25
7.5	28.75	1	32	24	25
7.5	28.75	1	33	24	25
7.5	28.75	1	34	25	25
7.5	28.75	1	35	25	25
7.5	28.75	1	36	25	25
7.5	28.75	1	37	25	25
7.5	28.75	1	38	25	25
7.5	28.75	1	39	25	25
7.5	28.75	1	40	25	25
7.5	28.75	1	41	25	25
7.5	28.75	1	42	25	25
7.5	28.75	1	43	25	25
12.5	28.75	1	0	0	25
12.5	28.75	1	1	0	25
12.5	28.75	1	2	0	25
12.5	28.75	1	3	0	25
12.5	28.75	1	4	0	25
12.5	28.75	1	5	0	25
12.5	28.75	1	6	0	25
12.5	28.75	1	7	0	25
12.5	28.75	1	8	11	25
12.5	28.75	1	9	13	25
12.5	28.75	1	10	16	25
12.5	28.75	1	11	16	25
12.5	28.75	1	12	16	25
12.5	28.75	1	13	17	25
12.5	28.75	1	14	17	25
12.5	28.75	1	15	17	25
12.5	28.75	1	16	17	25
12.5	28.75	1	17	17	25
12.5	28.75	1	18	17	25
12.5	28.75	1	19	24	25
12.5	28.75	1	20	24	25
12.5	28.75	1	21	25	25
12.5	28.75	1	22	25	25
12.5	28.75	1	23	25	25
12.5	28.75	1	24	25	25
12.5	28.75	1	25	25	25
12.5	28.75	1	26	25	25
12.5	28.75	1	27	25	25
12.5	28.75	1	28	25	25
12.5	28.75	1	29	25	25
12.5	28.75	1	30	25	25
12.5	28.75	1	31	25	25
12.5	28.75	1	32	25	25
12.5	28.75	1	33	25	25
12.5	28.75	1	34	25	25
12.5	28.75	1	35	25	25
12.5	28.75	1	36	25	25
12.5	28.75	1	37	25	25
12.5	28.75	1	38	25	25
12.5	28.75	1	39	25	25
12.5	28.75	1	40	25	25
12.5	28.75	1	41	25	25
12.5	28.75	1	42	25	25
12.5	28.75	1	43	25	25
7.5	31.25	1	0	0	20
7.5	31.25	1	1	0	20
7.5	31.25	1	2	0	20
7.5	31.25	1	3	0	20
7.5	31.25	1	4	0	20
7.5	31.25	1	5	0	20
7.5	31.25	1	6	0	20
7.5	31.25	1	7	0	20
7.5	31.25	1	8	2	20
7.5	31.25	1	9	3	20
7.5	31.25	1	10	3	20
7.5	31.25	1	11	3	20
7.5	31.25	1	12	3	20
7.5	31.25	1	13	3	20
7.5	31.25	1	14	3	20
7.5	31.25	1	15	3	20
7.5	31.25	1	16	3	20
7.5	31.25	1	17	3	20
7.5	31.25	1	18	4	20
7.5	31.25	1	19	4	20
7.5	31.25	1	20	4	20
7.5	31.25	1	21	4	20
7.5	31.25	1	22	4	20
7.5	31.25	1	23	4	20
7.5	31.25	1	24	5	20
7.5	31.25	1	25	5	20
7.5	31.25	1	26	5	20
7.5	31.25	1	27	5	20
7.5	31.25	1	28	5	20
7.5	31.25	1	29	5	20
7.5	31.25	1	30	5	20
7.5	31.25	1	31	6	20
7.5	31.25	1	32	6	20
7.5	31.25	1	33	8	20
7.5	31.25	1	34	19	20
7.5	31.25	1	35	19	20
7.5	31.25	1	36	19	20
7.5	31.25	1	37	19	20
7.5	31.25	1	38	19	20
7.5	31.25	1	39	19	20
7.5	31.25	1	40	19	20
7.5	31.25	1	41	19	20
7.5	31.25	1	42	19	20
7.5	31.25	1	43	19	20
12.5	31.25	1	0	0	25
12.5	31.25	1	1	0	25
12.5	31.25	1	2	0	25
12.5	31.25	1	3	0	25
12.5	31.25	1	4	0	25
12.5	31.25	1	5	0	25
12.5	31.25	1	6	0	25
12.5	31.25	1	7	0	25
12.5	31.25	1	8	0	25
12.5	31.25	1	9	2	25
12.5	31.25	1	10	2	25
12.5	31.25	1	11	2	25
12.5	31.25	1	12	3	25
12.5	31.25	1	13	3	25
12.5	31.25	1	14	3	25
12.5	31.25	1	15	4	25
12.5	31.25	1	16	4	25
12.5	31.25	1	17	4	25
12.5	31.25	1	18	8	25
12.5	31.25	1	19	8	25
12.5	31.25	1	20	8	25
12.5	31.25	1	21	9	25
12.5	31.25	1	22	16	25
12.5	31.25	1	23	16	25
12.5	31.25	1	24	17	25
12.5	31.25	1	25	18	25
12.5	31.25	1	26	18	25
12.5	31.25	1	27	18	25
12.5	31.25	1	28	24	25
12.5	31.25	1	29	24	25
12.5	31.25	1	30	24	25
12.5	31.25	1	31	24	25
12.5	31.25	1	32	24	25
12.5	31.25	1	33	24	25
12.5	31.25	1	34	24	25
12.5	31.25	1	35	24	25
12.5	31.25	1	36	24	25
12.5	31.25	1	37	24	25
12.5	31.25	1	38	24	25
12.5	31.25	1	39	24	25
12.5	31.25	1	40	24	25
12.5	31.25	1	41	24	25
12.5	31.25	1	42	24	25
12.5	31.25	1	43	24	25
7.5	33.75	1	0	0	25
7.5	33.75	1	1	0	25
7.5	33.75	1	2	0	25
7.5	33.75	1	3	0	25
7.5	33.75	1	4	0	25
7.5	33.75	1	5	0	25
