Treatment	Time	Dish	G	PG
2	1	rep1	0	25
2	2	rep1	0	25
2	3	rep1	0	25
2	4	rep1	0	25
2	5	rep1	0	25
2	6	rep1	0	25
2	7	rep1	0	25
2	8	rep1	0	25
2	9	rep1	0	25
2	10	rep1	0	25
2	11	rep1	0	25
2	12	rep1	0	25
2	13	rep1	0	25
2	14	rep1	0	25
2	15	rep1	0	25
2	16	rep1	0	25
2	17	rep1	0	25
2	18	rep1	0	25
2	19	rep1	0	25
2	20	rep1	0	25
2	21	rep1	0	25
2	22	rep1	0	25
2	23	rep1	0	25
2	24	rep1	0	25
2	25	rep1	0	25
2	26	rep1	0	25
2	27	rep1	0	25
2	28	rep1	0	25
2	29	rep1	0	25
2	30	rep1	0	25
2	1	rep2	0	25
2	2	rep2	0	25
2	3	rep2	0	25
2	4	rep2	0	25
2	5	rep2	0	25
2	6	rep2	0	25
2	7	rep2	0	25
2	8	rep2	0	25
2	9	rep2	0	25
2	10	rep2	0	25
2	11	rep2	0	25
2	12	rep2	0	25
2	13	rep2	0	25
2	14	rep2	0	25
2	15	rep2	0	25
2	16	rep2	0	25
2	17	rep2	0	25
2	18	rep2	0	25
2	19	rep2	0	25
2	20	rep2	0	25
2	21	rep2	0	25
2	22	rep2	0	25
2	23	rep2	0	25
2	24	rep2	0	25
2	25	rep2	0	25
2	26	rep2	0	25
2	27	rep2	0	25
2	28	rep2	0	25
2	29	rep2	0	25
2	30	rep2	0	25
2	1	rep3	0	25
2	2	rep3	0	25
2	3	rep3	0	25
2	4	rep3	0	25
2	5	rep3	0	25
2	6	rep3	0	25
2	7	rep3	0	25
2	8	rep3	0	25
2	9	rep3	0	25
2	10	rep3	0	25
2	11	rep3	0	25
2	12	rep3	0	25
2	13	rep3	0	25
2	14	rep3	0	25
2	15	rep3	0	25
2	16	rep3	0	25
2	17	rep3	0	25
2	18	rep3	0	25
2	19	rep3	0	25
2	20	rep3	0	25
2	21	rep3	0	25
2	22	rep3	0	25
2	23	rep3	0	25
2	24	rep3	0	25
2	25	rep3	0	25
2	26	rep3	0	25
2	27	rep3	0	25
2	28	rep3	0	25
2	29	rep3	0	25
2	30	rep3	0	25
2	1	rep4	0	25
2	2	rep4	0	25
2	3	rep4	0	25
2	4	rep4	0	25
2	5	rep4	0	25
2	6	rep4	0	25
2	7	rep4	0	25
2	8	rep4	0	25
2	9	rep4	0	25
2	10	rep4	0	25
2	11	rep4	0	25
2	12	rep4	0	25
2	13	rep4	0	25
2	14	rep4	0	25
2	15	rep4	0	25
2	16	rep4	0	25
2	17	rep4	0	25
2	18	rep4	0	25
2	19	rep4	0	25
2	20	rep4	0	25
2	21	rep4	0	25
2	22	rep4	0	25
2	23	rep4	0	25
2	24	rep4	0	25
2	25	rep4	0	25
2	26	rep4	0	25
2	27	rep4	0	25
2	28	rep4	0	25
2	29	rep4	0	25
2	30	rep4	0	25
4.5	1	rep1	0	25
4.5	2	rep1	0	25
4.5	3	rep1	0	25
4.5	4	rep1	0	25
4.5	5	rep1	0	25
4.5	6	rep1	0	25
4.5	7	rep1	0	25
4.5	8	rep1	0	25
4.5	9	rep1	0	25
4.5	10	rep1	0	25
4.5	11	rep1	0	25
4.5	12	rep1	0	25
4.5	13	rep1	0	25
4.5	14	rep1	0	25
4.5	15	rep1	0	25
4.5	16	rep1	0	25
4.5	17	rep1	0	25
4.5	18	rep1	0	25
4.5	19	rep1	0	25
4.5	20	rep1	0	25
4.5	21	rep1	0	25
4.5	22	rep1	0	25
4.5	23	rep1	0	25
4.5	24	rep1	0	25
4.5	25	rep1	0	25
4.5	26	rep1	0	25
4.5	27	rep1	0	25
4.5	28	rep1	0	25
4.5	29	rep1	0	25
4.5	30	rep1	0	25
4.5	1	rep2	0	25
4.5	2	rep2	0	25
4.5	3	rep2	0	25
4.5	4	rep2	0	25
4.5	5	rep2	0	25
4.5	6	rep2	0	25
4.5	7	rep2	0	25
4.5	8	rep2	0	25
4.5	9	rep2	0	25
4.5	10	rep2	0	25
4.5	11	rep2	0	25
4.5	12	rep2	0	25
4.5	13	rep2	0	25
4.5	14	rep2	0	25
4.5	15	rep2	0	25
4.5	16	rep2	0	25
4.5	17	rep2	0	25
4.5	18	rep2	0	25
4.5	19	rep2	0	25
4.5	20	rep2	0	25
4.5	21	rep2	0	25
4.5	22	rep2	0	25
4.5	23	rep2	0	25
4.5	24	rep2	0	25
4.5	25	rep2	0	25
4.5	26	rep2	0	25
4.5	27	rep2	0	25
4.5	28	rep2	0	25
4.5	29	rep2	0	25
4.5	30	rep2	0	25
4.5	1	rep3	0	25
4.5	2	rep3	0	25
4.5	3	rep3	0	25
4.5	4	rep3	0	25
4.5	5	rep3	0	25
4.5	6	rep3	0	25
4.5	7	rep3	0	25
4.5	8	rep3	0	25
4.5	9	rep3	0	25
4.5	10	rep3	0	25
4.5	11	rep3	0	25
4.5	12	rep3	0	25
4.5	13	rep3	0	25
4.5	14	rep3	0	25
4.5	15	rep3	0	25
4.5	16	rep3	0	25
4.5	17	rep3	0	25
4.5	18	rep3	0	25
4.5	19	rep3	0	25
4.5	20	rep3	0	25
4.5	21	rep3	0	25
4.5	22	rep3	0	25
4.5	23	rep3	0	25
4.5	24	rep3	0	25
4.5	25	rep3	0	25
4.5	26	rep3	0	25
4.5	27	rep3	0	25
4.5	28	rep3	0	25
4.5	29	rep3	0	25
4.5	30	rep3	0	25
4.5	1	rep4	0	25
4.5	2	rep4	0	25
4.5	3	rep4	0	25
4.5	4	rep4	0	25
4.5	5	rep4	0	25
4.5	6	rep4	0	25
4.5	7	rep4	0	25
4.5	8	rep4	0	25
4.5	9	rep4	0	25
4.5	10	rep4	0	25
4.5	11	rep4	0	25
4.5	12	rep4	0	25
4.5	13	rep4	0	25
4.5	14	rep4	0	25
4.5	15	rep4	0	25
4.5	16	rep4	0	25
4.5	17	rep4	0	25
4.5	18	rep4	0	25
4.5	19	rep4	0	25
4.5	20	rep4	0	25
4.5	21	rep4	0	25
4.5	22	rep4	0	25
4.5	23	rep4	0	25
4.5	24	rep4	0	25
4.5	25	rep4	0	25
4.5	26	rep4	0	25
4.5	27	rep4	0	25
4.5	28	rep4	0	25
4.5	29	rep4	0	25
4.5	30	rep4	0	25
7.5	1	rep1	0	25
7.5	2	rep1	0	25
7.5	3	rep1	0	25
7.5	4	rep1	0	25
7.5	5	rep1	0	25
7.5	6	rep1	0	25
7.5	7	rep1	0	25
7.5	8	rep1	0	25
7.5	9	rep1	0	25
7.5	10	rep1	0	25
7.5	11	rep1	0	25
7.5	12	rep1	0	25
7.5	13	rep1	0	25
7.5	14	rep1	0	25
7.5	15	rep1	0	25
7.5	16	rep1	0	25
7.5	17	rep1	0	25
7.5	18	rep1	0	25
7.5	19	rep1	0	25
7.5	20	rep1	0	25
7.5	21	rep1	0	25
7.5	22	rep1	0	25
7.5	23	rep1	0	25
7.5	24	rep1	0	25
7.5	25	rep1	0	25
7.5	26	rep1	0	25
7.5	27	rep1	0	25
7.5	28	rep1	0	25
7.5	29	rep1	0	25
7.5	30	rep1	0	25
7.5	1	rep2	0	25
7.5	2	rep2	0	25
7.5	3	rep2	0	25
7.5	4	rep2	0	25
7.5	5	rep2	0	25
7.5	6	rep2	0	25
7.5	7	rep2	0	25
7.5	8	rep2	0	25
7.5	9	rep2	0	25
7.5	10	rep2	0	25
7.5	11	rep2	0	25
7.5	12	rep2	0	25
7.5	13	rep2	0	25
7.5	14	rep2	0	25
7.5	15	rep2	0	25
7.5	16	rep2	0	25
7.5	17	rep2	0	25
7.5	18	rep2	0	25
7.5	19	rep2	0	25
7.5	20	rep2	0	25
7.5	21	rep2	0	25
7.5	22	rep2	3	25
7.5	23	rep2	3	25
7.5	24	rep2	3	25
7.5	25	rep2	3	25
7.5	26	rep2	3	25
7.5	27	rep2	3	25
7.5	28	rep2	3	25
7.5	29	rep2	3	25
7.5	30	rep2	3	25
7.5	1	rep3	0	25
7.5	2	rep3	0	25
7.5	3	rep3	0	25
7.5	4	rep3	0	25
7.5	5	rep3	0	25
7.5	6	rep3	0	25
7.5	7	rep3	0	25
7.5	8	rep3	0	25
7.5	9	rep3	0	25
7.5	10	rep3	0	25
7.5	11	rep3	0	25
7.5	12	rep3	0	25
7.5	13	rep3	0	25
7.5	14	rep3	0	25
7.5	15	rep3	0	25
7.5	16	rep3	1	25
7.5	17	rep3	1	25
7.5	18	rep3	1	25
7.5	19	rep3	1	25
7.5	20	rep3	1	25
7.5	21	rep3	1	25
7.5	22	rep3	2	25
7.5	23	rep3	2	25
7.5	24	rep3	2	25
7.5	25	rep3	2	25
7.5	26	rep3	2	25
7.5	27	rep3	2	25
7.5	28	rep3	2	25
7.5	29	rep3	2	25
7.5	30	rep3	2	25
7.5	1	rep4	0	25
7.5	2	rep4	0	25
7.5	3	rep4	0	25
7.5	4	rep4	0	25
7.5	5	rep4	0	25
7.5	6	rep4	0	25
7.5	7	rep4	0	25
7.5	8	rep4	0	25
7.5	9	rep4	0	25
7.5	10	rep4	0	25
7.5	11	rep4	0	25
7.5	12	rep4	0	25
7.5	13	rep4	0	25
7.5	14	rep4	0	25
7.5	15	rep4	0	25
7.5	16	rep4	1	25
7.5	17	rep4	1	25
7.5	18	rep4	1	25
7.5	19	rep4	1	25
7.5	20	rep4	1	25
7.5	21	rep4	1	25
7.5	22	rep4	1	25
7.5	23	rep4	1	25
7.5	24	rep4	1	25
7.5	25	rep4	1	25
7.5	26	rep4	1	25
7.5	27	rep4	1	25
7.5	28	rep4	1	25
7.5	29	rep4	1	25
7.5	30	rep4	1	25
10	1	rep1	0	25
10	2	rep1	0	25
10	3	rep1	0	25
10	4	rep1	0	25
10	5	rep1	0	25
10	6	rep1	0	25
10	7	rep1	0	25
10	8	rep1	0	25
10	9	rep1	0	25
10	10	rep1	0	25
10	11	rep1	0	25
10	12	rep1	0	25
10	13	rep1	1	25
10	14	rep1	1	25
10	15	rep1	1	25
10	16	rep1	1	25
10	17	rep1	1	25
10	18	rep1	1	25
10	19	rep1	3	25
10	20	rep1	3	25
10	21	rep1	3	25
10	22	rep1	7	25
10	23	rep1	7	25
10	24	rep1	7	25
10	25	rep1	7	25
10	26	rep1	7	25
10	27	rep1	7	25
10	28	rep1	7	25
10	29	rep1	7	25
10	30	rep1	7	25
10	1	rep2	0	25
10	2	rep2	0	25
10	3	rep2	0	25
10	4	rep2	0	25
10	5	rep2	0	25
10	6	rep2	0	25
10	7	rep2	0	25
10	8	rep2	0	25
10	9	rep2	0	25
10	10	rep2	1	25
10	11	rep2	1	25
10	12	rep2	1	25
10	13	rep2	3	25
10	14	rep2	3	25
10	15	rep2	3	25
10	16	rep2	4	25
10	17	rep2	4	25
10	18	rep2	4	25
10	19	rep2	4	25
10	20	rep2	4	25
10	21	rep2	4	25
10	22	rep2	5	25
10	23	rep2	5	25
10	24	rep2	5	25
10	25	rep2	5	25
10	26	rep2	5	25
10	27	rep2	5	25
10	28	rep2	5	25
10	29	rep2	5	25
10	30	rep2	5	25
10	1	rep3	0	25
10	2	rep3	0	25
10	3	rep3	0	25
10	4	rep3	0	25
10	5	rep3	0	25
10	6	rep3	0	25
10	7	rep3	0	25
10	8	rep3	0	25
10	9	rep3	0	25
10	10	rep3	0	25
10	11	rep3	0	25
10	12	rep3	0	25
10	13	rep3	0	25
10	14	rep3	0	25
10	15	rep3	0	25
10	16	rep3	8	25
10	17	rep3	8	25
10	18	rep3	8	25
10	19	rep3	10	25
10	20	rep3	10	25
10	21	rep3	10	25
10	22	rep3	10	25
10	23	rep3	10	25
10	24	rep3	10	25
10	25	rep3	10	25
10	26	rep3	10	25
10	27	rep3	10	25
10	28	rep3	10	25
10	29	rep3	10	25
10	30	rep3	10	25
10	1	rep4	0	25
10	2	rep4	0	25
