Grouping	Treatment	Dish	Time	G	PG
A	11.25	1	0	0	25
A	11.25	1	1	0	25
A	11.25	1	2	0	25
A	11.25	1	3	0	25
A	11.25	1	4	0	25
A	11.25	1	5	0	25
A	11.25	1	6	0	25
A	11.25	1	7	0	25
A	11.25	1	8	0	25
A	11.25	1	9	0	25
A	11.25	1	10	0	25
A	11.25	1	11	0	25
A	11.25	1	12	0	25
A	11.25	1	13	0	25
A	11.25	1	14	0	25
A	11.25	1	15	0	25
A	11.25	1	16	0	25
A	11.25	1	17	0	25
A	11.25	1	18	0	25
A	11.25	1	19	0	25
A	11.25	1	20	0	25
A	11.25	1	21	0	25
A	11.25	1	22	0	25
A	11.25	1	23	0	25
A	11.25	1	24	0	25
A	11.25	1	25	0	25
A	11.25	1	26	0	25
A	11.25	1	27	0	25
A	11.25	1	28	0	25
A	11.25	1	29	0	25
A	11.25	1	30	0	25
A	11.25	1	31	0	25
A	11.25	1	32	0	25
A	11.25	1	33	0	25
A	11.25	1	34	0	25
A	11.25	1	35	0	25
A	11.25	1	36	0	25
A	11.25	1	37	0	25
A	11.25	1	38	0	25
A	11.25	1	39	0	25
A	11.25	1	40	0	25
A	11.25	1	41	0	25
A	11.25	1	42	0	25
A	11.25	1	43	0	25
A	13.75	1	0	0	25
A	13.75	1	1	0	25
A	13.75	1	2	0	25
A	13.75	1	3	0	25
A	13.75	1	4	0	25
A	13.75	1	5	0	25
A	13.75	1	6	0	25
A	13.75	1	7	0	25
A	13.75	1	8	0	25
A	13.75	1	9	0	25
A	13.75	1	10	0	25
A	13.75	1	11	0	25
A	13.75	1	12	0	25
A	13.75	1	13	0	25
A	13.75	1	14	0	25
A	13.75	1	15	0	25
A	13.75	1	16	0	25
A	13.75	1	17	0	25
A	13.75	1	18	0	25
A	13.75	1	19	0	25
A	13.75	1	20	0	25
A	13.75	1	21	0	25
A	13.75	1	22	0	25
A	13.75	1	23	0	25
A	13.75	1	24	0	25
A	13.75	1	25	0	25
A	13.75	1	26	0	25
A	13.75	1	27	0	25
A	13.75	1	28	0	25
A	13.75	1	29	0	25
A	13.75	1	30	0	25
A	13.75	1	31	0	25
A	13.75	1	32	0	25
A	13.75	1	33	0	25
A	13.75	1	34	0	25
A	13.75	1	35	0	25
A	13.75	1	36	0	25
A	13.75	1	37	0	25
A	13.75	1	38	0	25
A	13.75	1	39	0	25
A	13.75	1	40	0	25
A	13.75	1	41	0	25
A	13.75	1	42	0	25
A	13.75	1	43	0	25
A	16.25	1	0	0	25
A	16.25	1	1	0	25
A	16.25	1	2	0	25
A	16.25	1	3	0	25
A	16.25	1	4	0	25
A	16.25	1	5	0	25
A	16.25	1	6	0	25
A	16.25	1	7	0	25
A	16.25	1	8	0	25
A	16.25	1	9	0	25
A	16.25	1	10	0	25
A	16.25	1	11	0	25
A	16.25	1	12	0	25
A	16.25	1	13	0	25
A	16.25	1	14	0	25
A	16.25	1	15	0	25
A	16.25	1	16	0	25
A	16.25	1	17	0	25
A	16.25	1	18	0	25
A	16.25	1	19	0	25
A	16.25	1	20	0	25
A	16.25	1	21	0	25
A	16.25	1	22	0	25
A	16.25	1	23	0	25
A	16.25	1	24	0	25
A	16.25	1	25	0	25
A	16.25	1	26	0	25
A	16.25	1	27	0	25
A	16.25	1	28	0	25
A	16.25	1	29	0	25
A	16.25	1	30	0	25
A	16.25	1	31	0	25
A	16.25	1	32	0	25
A	16.25	1	33	0	25
A	16.25	1	34	0	25
A	16.25	1	35	0	25
A	16.25	1	36	0	25
A	16.25	1	37	0	25
A	16.25	1	38	0	25
A	16.25	1	39	0	25
A	16.25	1	40	0	25
A	16.25	1	41	0	25
A	16.25	1	42	0	25
A	16.25	1	43	0	25
A	18.75	1	0	0	25
A	18.75	1	1	0	25
A	18.75	1	2	0	25
A	18.75	1	3	0	25
A	18.75	1	4	0	25
A	18.75	1	5	0	25
A	18.75	1	6	0	25
A	18.75	1	7	0	25
