Grouping	Treatment	Dish	Time	G	PG
AR	0	C10	1	0	25
AR	3	A130	1	0	25
AR	4.4	A129	1	0	25
AR	5.8	A128	1	0	25
AR	7.3	A127	1	0	25
AR	8.7	A126	1	0	24
AR	10.1	A125	1	0	25
AR	11.5	A124	1	0	25
AR	12.9	A123	1	0	25
AR	14.3	A122	1	0	25
AR	15.8	A121	1	0	25
AR	17.2	A120	1	0	25
AR	18.6	A119	1	0	25
AR	20	A118	1	0	25
AR	25	D10	1	0	24
AR	30	E10	1	0	25
CM	0	C1	1	0	25
CM	3	A13	1	0	23
CM	4.4	A12	1	0	23
CM	5.8	A11	1	0	24
CM	7.3	A10	1	0	22
CM	8.7	A9	1	0	23
CM	10.1	A8	1	0	22
CM	11.5	A7	1	0	23
CM	12.9	A6	1	0	22
CM	14.3	A5	1	0	24
CM	15.8	A4	1	0	25
CM	17.2	A3	1	0	25
CM	18.6	A2	1	0	24
CM	20	A1	1	0	22
CM	25	D1	1	0	20
CM	30	E1	1	0	22
MA	0	C4	1	0	21
MA	3	A52	1	0	23
MA	4.4	A51	1	0	21
MA	5.8	A50	1	0	24
MA	7.3	A49	1	0	24
MA	8.7	A48	1	0	25
MA	10.1	A47	1	0	23
MA	11.5	A46	1	0	25
MA	12.9	A45	1	0	24
MA	14.3	A44	1	0	25
MA	15.8	A43	1	0	24
MA	17.2	A42	1	0	25
MA	18.6	A41	1	0	25
MA	20	A40	1	0	23
MA	25	D4	1	0	22
MA	30	E4	1	0	25
ML	0	C16	1	0	25
ML	5	B52	1	0	23
ML	6.3	B51	1	0	24
ML	7.5	B50	1	0	23
ML	8.8	B49	1	0	25
ML	10	B48	1	0	25
ML	11.3	B47	1	0	25
ML	12.5	B46	1	0	25
ML	13.8	B45	1	0	25
ML	15	B44	1	0	23
ML	16.3	B43	1	0	25
ML	17.5	B42	1	0	22
ML	18.8	B41	1	0	22
ML	20	B40	1	0	25
ML	25	D16	1	0	25
ML	30	E16	1	0	25
PU	0	C7	1	0	24
PU	3	A91	1	0	23
PU	4.4	A90	1	0	24
PU	5.8	A89	1	0	20
PU	7.3	A88	1	0	22
PU	8.7	A87	1	0	24
PU	10.1	A86	1	0	25
PU	11.5	A85	1	0	24
PU	12.9	A84	1	0	25
PU	14.3	A83	1	0	23
PU	15.8	A82	1	0	22
PU	17.2	A81	1	0	24
PU	18.6	A80	1	0	22
