Grouping	Treatment	Dish	Time	G	PG
AMT	5	1	0	0	20
AMT	5	1	1	0	20
AMT	5	1	2	0	20
AMT	5	1	3	0	20
AMT	5	1	4	0	20
AMT	5	1	5	0	20
AMT	5	1	6	0	20
AMT	5	1	7	0	20
AMT	5	1	8	1	20
AMT	5	1	9	1	20
AMT	5	1	10	1	20
AMT	5	1	11	1	20
AMT	5	1	12	1	20
AMT	5	1	13	1	20
AMT	5	1	14	1	20
AMT	5	1	15	2	20
AMT	5	1	16	2	20
AMT	5	1	17	2	20
AMT	5	1	18	2	20
AMT	5	1	19	2	20
AMT	5	1	20	2	20
AMT	5	1	21	2	20
AMT	5	1	22	2	20
AMT	5	1	23	2	20
AMT	5	1	24	2	20
AMT	5	1	25	2	20
AMT	5	1	26	2	20
AMT	5	1	27	2	20
AMT	5	1	28	2	20
AMT	5	1	29	2	20
AMT	5	1	30	2	20
AMT	5	1	31	2	20
AMT	5	1	32	2	20
AMT	5	1	33	2	20
AMT	5	1	34	2	20
AMT	5	1	35	2	20
AMT	5	1	36	2	20
AMT	5	2	0	0	20
AMT	5	2	1	0	20
AMT	5	2	2	0	20
AMT	5	2	3	0	20
AMT	5	2	4	0	20
AMT	5	2	5	0	20
AMT	5	2	6	0	20
AMT	5	2	7	0	20
AMT	5	2	8	0	20
AMT	5	2	9	0	20
AMT	5	2	10	0	20
AMT	5	2	11	0	20
AMT	5	2	12	0	20
AMT	5	2	13	0	20
AMT	5	2	14	0	20
AMT	5	2	15	1	20
AMT	5	2	16	1	20
AMT	5	2	17	1	20
AMT	5	2	18	1	20
AMT	5	2	19	1	20
AMT	5	2	20	1	20
AMT	5	2	21	1	20
AMT	5	2	22	1	20
AMT	5	2	23	1	20
AMT	5	2	24	1	20
AMT	5	2	25	1	20
AMT	5	2	26	1	20
AMT	5	2	27	2	20
AMT	5	2	28	2	20
AMT	5	2	29	2	20
AMT	5	2	30	2	20
AMT	5	2	31	2	20
AMT	5	2	32	2	20
AMT	5	2	33	2	20
AMT	5	2	34	2	20
AMT	5	2	35	2	20
AMT	5	2	36	2	20
AMT	5	3	0	0	18
AMT	5	3	1	0	18
AMT	5	3	2	0	18
AMT	5	3	3	0	18
AMT	5	3	4	0	18
AMT	5	3	5	0	18
AMT	5	3	6	0	18
AMT	5	3	7	0	18
AMT	5	3	8	1	18
AMT	5	3	9	1	18
AMT	5	3	10	1	18
AMT	5	3	11	1	18
AMT	5	3	12	1	18
