Grouping	Treatment	Dish	Start	End	G	PG	
1	A	11.25	1	0	1	0	25
2	A	11.25	1	1	2	0	25
3	A	11.25	1	2	3	0	25
4	A	11.25	1	3	4	0	25
5	A	11.25	1	4	5	0	25
6	A	11.25	1	5	6	0	25
7	A	11.25	1	6	7	0	25
8	A	11.25	1	7	8	0	25
9	A	11.25	1	8	9	0	25
10	A	11.25	1	9	10	0	25
11	A	11.25	1	10	11	0	25
12	A	11.25	1	11	12	0	25
13	A	11.25	1	12	13	0	25
14	A	11.25	1	13	14	0	25
15	A	11.25	1	14	15	0	25
16	A	11.25	1	15	16	0	25
17	A	11.25	1	16	17	0	25
18	A	11.25	1	17	18	0	25
19	A	11.25	1	18	19	0	25
20	A	11.25	1	19	20	0	25
21	A	11.25	1	20	21	0	25
22	A	11.25	1	21	22	0	25
23	A	11.25	1	22	23	0	25
24	A	11.25	1	23	24	0	25
25	A	11.25	1	24	25	0	25
26	A	11.25	1	25	26	0	25
27	A	11.25	1	26	27	0	25
28	A	11.25	1	27	28	0	25
29	A	11.25	1	28	29	0	25
30	A	11.25	1	29	30	0	25
31	A	11.25	1	30	31	0	25
32	A	11.25	1	31	32	0	25
33	A	11.25	1	32	33	0	25
34	A	11.25	1	33	34	0	25
35	A	11.25	1	34	35	0	25
36	A	11.25	1	35	36	0	25
37	A	11.25	1	36	37	0	25
38	A	11.25	1	37	38	0	25
39	A	11.25	1	38	39	0	25
40	A	11.25	1	39	40	0	25
41	A	11.25	1	40	41	0	25
42	A	11.25	1	41	42	0	25
43	A	11.25	1	42	43	0	25
44	A	11.25	1	43	Inf	25	25
45	A	13.75	1	0	1	0	25
46	A	13.75	1	1	2	0	25
47	A	13.75	1	2	3	0	25
48	A	13.75	1	3	4	0	25
49	A	13.75	1	4	5	0	25
50	A	13.75	1	5	6	0	25
51	A	13.75	1	6	7	0	25
52	A	13.75	1	7	8	0	25
53	A	13.75	1	8	9	0	25
54	A	13.75	1	9	10	0	25
55	A	13.75	1	10	11	0	25
56	A	13.75	1	11	12	0	25
57	A	13.75	1	12	13	0	25
58	A	13.75	1	13	14	0	25
59	A	13.75	1	14	15	0	25
60	A	13.75	1	15	16	0	25
61	A	13.75	1	16	17	0	25
62	A	13.75	1	17	18	0	25
63	A	13.75	1	18	19	0	25
64	A	13.75	1	19	20	0	25
65	A	13.75	1	20	21	0	25
66	A	13.75	1	21	22	0	25
67	A	13.75	1	22	23	0	25
68	A	13.75	1	23	24	0	25
69	A	13.75	1	24	25	0	25
70	A	13.75	1	25	26	0	25
71	A	13.75	1	26	27	0	25
72	A	13.75	1	27	28	0	25
73	A	13.75	1	28	29	0	25
74	A	13.75	1	29	30	0	25
75	A	13.75	1	30	31	0	25
76	A	13.75	1	31	32	0	25
77	A	13.75	1	32	33	0	25
78	A	13.75	1	33	34	0	25
79	A	13.75	1	34	35	0	25
80	A	13.75	1	35	36	0	25
81	A	13.75	1	36	37	0	25
82	A	13.75	1	37	38	0	25
83	A	13.75	1	38	39	0	25
84	A	13.75	1	39	40	0	25
85	A	13.75	1	40	41	0	25
86	A	13.75	1	41	42	0	25
87	A	13.75	1	42	43	0	25
88	A	13.75	1	43	Inf	25	25
89	A	16.25	1	0	1	0	25
90	A	16.25	1	1	2	0	25
91	A	16.25	1	2	3	0	25
92	A	16.25	1	3	4	0	25
93	A	16.25	1	4	5	0	25
94	A	16.25	1	5	6	0	25
95	A	16.25	1	6	7	0	25
96	A	16.25	1	7	8	0	25
97	A	16.25	1	8	9	0	25
98	A	16.25	1	9	10	0	25
99	A	16.25	1	10	11	0	25
100	A	16.25	1	11	12	0	25
101	A	16.25	1	12	13	0	25
102	A	16.25	1	13	14	0	25
103	A	16.25	1	14	15	0	25
104	A	16.25	1	15	16	0	25
105	A	16.25	1	16	17	0	25
106	A	16.25	1	17	18	0	25
107	A	16.25	1	18	19	0	25
108	A	16.25	1	19	20	0	25
109	A	16.25	1	20	21	0	25
110	A	16.25	1	21	22	0	25
111	A	16.25	1	22	23	0	25
112	A	16.25	1	23	24	0	25
113	A	16.25	1	24	25	0	25
114	A	16.25	1	25	26	0	25
115	A	16.25	1	26	27	0	25
116	A	16.25	1	27	28	0	25
117	A	16.25	1	28	29	0	25
118	A	16.25	1	29	30	0	25
119	A	16.25	1	30	31	0	25
120	A	16.25	1	31	32	0	25
121	A	16.25	1	32	33	0	25
122	A	16.25	1	33	34	0	25
123	A	16.25	1	34	35	0	25
124	A	16.25	1	35	36	0	25
125	A	16.25	1	36	37	0	25
126	A	16.25	1	37	38	0	25
127	A	16.25	1	38	39	0	25
128	A	16.25	1	39	40	0	25
129	A	16.25	1	40	41	0	25
130	A	16.25	1	41	42	0	25
131	A	16.25	1	42	43	0	25
132	A	16.25	1	43	Inf	25	25
133	A	18.75	1	0	1	0	25
134	A	18.75	1	1	2	0	25
135	A	18.75	1	2	3	0	25
136	A	18.75	1	3	4	0	25
137	A	18.75	1	4	5	0	25
138	A	18.75	1	5	6	0	25
139	A	18.75	1	6	7	0	25
140	A	18.75	1	7	8	0	25
141	A	18.75	1	8	9	0	25
142	A	18.75	1	9	10	0	25
143	A	18.75	1	10	11	0	25
144	A	18.75	1	11	12	0	25
145	A	18.75	1	12	13	0	25
146	A	18.75	1	13	14	0	25
147	A	18.75	1	14	15	3	25
148	A	18.75	1	15	16	3	25
149	A	18.75	1	16	17	0	25
150	A	18.75	1	17	18	1	25
151	A	18.75	1	18	19	0	25
152	A	18.75	1	19	20	0	25
153	A	18.75	1	20	21	0	25
154	A	18.75	1	21	22	0	25
155	A	18.75	1	22	23	0	25
156	A	18.75	1	23	24	0	25
157	A	18.75	1	24	25	0	25
158	A	18.75	1	25	26	0	25
159	A	18.75	1	26	27	0	25
160	A	18.75	1	27	28	0	25
161	A	18.75	1	28	29	0	25
162	A	18.75	1	29	30	0	25
163	A	18.75	1	30	31	0	25
164	A	18.75	1	31	32	0	25
165	A	18.75	1	32	33	0	25
166	A	18.75	1	33	34	0	25
167	A	18.75	1	34	35	0	25
168	A	18.75	1	35	36	0	25
169	A	18.75	1	36	37	0	25
170	A	18.75	1	37	38	0	25
171	A	18.75	1	38	39	0	25
172	A	18.75	1	39	40	0	25
173	A	18.75	1	40	41	0	25
174	A	18.75	1	41	42	0	25
175	A	18.75	1	42	43	0	25
176	A	18.75	1	43	Inf	18	25
177	A	21.25	1	0	1	0	25
178	A	21.25	1	1	2	0	25
179	A	21.25	1	2	3	0	25
180	A	21.25	1	3	4	0	25
181	A	21.25	1	4	5	0	25
182	A	21.25	1	5	6	0	25
183	A	21.25	1	6	7	0	25
184	A	21.25	1	7	8	0	25
185	A	21.25	1	8	9	0	25
186	A	21.25	1	9	10	4	25
187	A	21.25	1	10	11	0	25
188	A	21.25	1	11	12	3	25
189	A	21.25	1	12	13	0	25
190	A	21.25	1	13	14	0	25
191	A	21.25	1	14	15	0	25
192	A	21.25	1	15	16	0	25
193	A	21.25	1	16	17	0	25
194	A	21.25	1	17	18	0	25
195	A	21.25	1	18	19	0	25
196	A	21.25	1	19	20	0	25
197	A	21.25	1	20	21	0	25
198	A	21.25	1	21	22	0	25
199	A	21.25	1	22	23	0	25
200	A	21.25	1	23	24	0	25
201	A	21.25	1	24	25	0	25
202	A	21.25	1	25	26	0	25
203	A	21.25	1	26	27	0	25
204	A	21.25	1	27	28	0	25
205	A	21.25	1	28	29	0	25
206	A	21.25	1	29	30	0	25
207	A	21.25	1	30	31	0	25
208	A	21.25	1	31	32	0	25
209	A	21.25	1	32	33	0	25
210	A	21.25	1	33	34	0	25
211	A	21.25	1	34	35	0	25
212	A	21.25	1	35	36	0	25
213	A	21.25	1	36	37	0	25
214	A	21.25	1	37	38	0	25
215	A	21.25	1	38	39	0	25
216	A	21.25	1	39	40	0	25
217	A	21.25	1	40	41	0	25
218	A	21.25	1	41	42	0	25
219	A	21.25	1	42	43	0	25
220	A	21.25	1	43	Inf	18	25
221	A	23.75	1	0	1	0	25
222	A	23.75	1	1	2	0	25
223	A	23.75	1	2	3	0	25
224	A	23.75	1	3	4	0	25
225	A	23.75	1	4	5	0	25
226	A	23.75	1	5	6	0	25
227	A	23.75	1	6	7	0	25
228	A	23.75	1	7	8	4	25
229	A	23.75	1	8	9	3	25
230	A	23.75	1	9	10	1	25
231	A	23.75	1	10	11	1	25
232	A	23.75	1	11	12	0	25
233	A	23.75	1	12	13	1	25
234	A	23.75	1	13	14	0	25
235	A	23.75	1	14	15	1	25
236	A	23.75	1	15	16	0	25
237	A	23.75	1	16	17	0	25
238	A	23.75	1	17	18	1	25
239	A	23.75	1	18	19	0	25
240	A	23.75	1	19	20	0	25
241	A	23.75	1	20	21	0	25
242	A	23.75	1	21	22	0	25
243	A	23.75	1	22	23	1	25
244	A	23.75	1	23	24	0	25
245	A	23.75	1	24	25	0	25
246	A	23.75	1	25	26	0	25
247	A	23.75	1	26	27	0	25
248	A	23.75	1	27	28	0	25
249	A	23.75	1	28	29	0	25
250	A	23.75	1	29	30	2	25
251	A	23.75	1	30	31	5	25
252	A	23.75	1	31	32	0	25
253	A	23.75	1	32	33	1	25
254	A	23.75	1	33	34	1	25
255	A	23.75	1	34	35	0	25
256	A	23.75	1	35	36	0	25
257	A	23.75	1	36	37	0	25
